"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","66000248",NA,"Leadville Historic District","Colorado","Lake","Leadville","Town of Leadville","Listed","Single",FALSE,100,"Industry; Exploration/Settlement; Architecture","District","https://catalog.archives.gov/id/84127918",FALSE,TRUE,FALSE,FALSE,FALSE,2066-10-15,2061-07-04,NA,NA,"66000248","Leadville","Leadville Historic District, Lake, Colorado",39.24729,-106.29132
"2","100007990","SG","Buckhorn Ranger Station Historic District","Colorado","Larimer","Bellvue","Fire Route 133, Arapaho and Roosevelt National Forests","Listed","Single",FALSE,18.9,"Conservation; Politics/Government; Architecture","District",NA,FALSE,FALSE,TRUE,FALSE,FALSE,2022-08-12,NA,"Buckhorn Work Center; Old Buckhorn Ranger Station; 5LR.1862; 5LR.732",NA,"100007990","Buckhorn Ranger Station","Buckhorn Ranger Station Historic District, Larimer, Colorado",40.58026,-105.46805
"3","15000281",NA,"Downtown Loveland Historic District","Colorado","Larimer","Loveland","Roughly bounded by Railroad & Jefferson Aves., alleys between 3rd & 4th Sts. & 4th & 5th Sts.","Listed","Single",FALSE,18,"Commerce","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-06-01,NA,"5LR.9700",NA,"15000281","Downtown Loveland","Downtown Loveland Historic District, Larimer, Colorado",40.393972,-105.073923
"4","87001139",NA,"Fall River Entrance Historic District","Colorado","Larimer","Estes Park","Fall River Entrance","Listed","Multiple",FALSE,0.9,"Architecture","District","https://catalog.archives.gov/id/84126727",FALSE,TRUE,TRUE,TRUE,FALSE,1988-01-29,NA,"HS-44,HS-169,HS-168","Rocky Mountain","87001139","Fall River Entrance","Fall River Entrance Historic District, Larimer, Colorado",42.785719649164,-86.108954945182
"5","100002148","BC","Fall River Entrance Historic District (Boundary Increase And Additional Documentation)","Colorado","Larimer","Estes Park","Rocky Mountain NP","Listed","Boundary",FALSE,6.96,"Architecture; Community Planning And Development; Politics/Government","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2018-03-05,NA,"Fall River Entrance; Bighorn Ranger Station; 5LR.1184","Rocky Mountain","87001139","Fall River Entrance (Boundary Increase And Additional Documentation)","Fall River Entrance Historic District (Boundary Increase And Additional Documentation), Larimer, Colorado",40.66641,-105.46116
"6","100007216","MP","Fall River Pass Historic District","Colorado","Larimer","Estes Park","Fall River Pass, Rocky Mountain National Park","Listed","Multiple",FALSE,137,"Architecture; Entertainment/Recreation","District",NA,FALSE,FALSE,TRUE,FALSE,FALSE,2021-12-10,NA,"5LR.14866","Rocky Mountain","100007216","Fall River Pass","Fall River Pass Historic District, Larimer, Colorado",40.508552755993,-104.955156249389
"7","16000155",NA,"Graves Camp Rural Historic District","Colorado","Larimer","Wellington","Five miles west of I-25 just south of the Colorado-Wyoming state line, in far northeastern Larimer County","Listed","Single",FALSE,1171.7,"Agriculture; Historic - Non-Aboriginal; Transportation; Prehistoric","Site",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2016-12-14,NA,"5LR.11694",NA,"16000155","Graves Camp Rural","Graves Camp Rural Historic District, Larimer, Colorado",39.74778,-104.99944
"8","80000909",NA,"Laurel School Historic District","Colorado","Larimer","Fort Collins","Off U.S. 287","Listed","Single",FALSE,217,"Community Planning And Development; Architecture","District","https://catalog.archives.gov/id/84131414",FALSE,FALSE,FALSE,TRUE,FALSE,1980-10-03,NA,"Midtown Historic District;Midtown;Laurel School",NA,"80000909","Laurel School","Laurel School Historic District, Larimer, Colorado",39.74778,-104.99944
"9","82001717","MP","Rocky Mountain National Park Utility Area Historic District","Colorado","Larimer","Estes Park","Beaver Meadows Entrance Rd.","Listed","Multiple",FALSE,109,"Architecture","District","https://catalog.archives.gov/id/84126784",FALSE,FALSE,FALSE,TRUE,FALSE,1982-03-18,NA,"Beaver Meadows Maintenance Area","Rocky Mountain","82001717","Rocky Mountain National Park Utility Area","Rocky Mountain National Park Utility Area Historic District, Larimer, Colorado",40.36639,-105.560389
"10","85000083",NA,"Cokedale Historic District","Colorado","Las Animas","Cokedale","Roughly bounded by Church, Maple, Pine, Elm, and Spruce Sts.","Listed","Single",FALSE,450,"Industry; Community Planning And Development; Architecture","District","https://catalog.archives.gov/id/84131642",FALSE,FALSE,TRUE,FALSE,FALSE,1985-01-18,NA,NA,NA,"85000083","Cokedale","Cokedale Historic District, Las Animas, Colorado",37.142549,-104.619728
"11","00001047",NA,"Rourke Ranch Historic District","Colorado","Las Animas","La Junta","Comanche National Grassland","Listed","Single",FALSE,200,"Agriculture; Architecture; Exploration/Settlement","District","https://catalog.archives.gov/id/84131479",FALSE,FALSE,FALSE,TRUE,FALSE,2000-09-21,NA,"5LA8813",NA,"00001047","Rourke Ranch","Rourke Ranch Historic District, Las Animas, Colorado",37.59363,-103.63856
"12","13000592",NA,"Downtown Sterling Historic District","Colorado","Logan","Sterling","Roughly bounded by Division Ave., Poplar, Front, Ash & 4th Sts.","Listed","Single",FALSE,38.9,"Commerce","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2013-08-13,NA,"5LO.829",NA,"13000592","Downtown Sterling","Downtown Sterling Historic District, Logan, Colorado",40.578633,-103.353888
"13","94000310",NA,"Rim Rock Drive Historic District","Colorado","Mesa","Grand Junction","Colorado National Monument","Listed","Multiple",FALSE,786.8,"Transportation; Engineering; Landscape Architecture; Social History; Entertainment/Recreation; Conservation","District","https://catalog.archives.gov/id/84127217",FALSE,FALSE,FALSE,TRUE,FALSE,1994-04-21,NA,"Scenic Rim Rock Road;5ME5944","Colorado","94000310","Rim Rock Drive","Rim Rock Drive Historic District, Mesa, Colorado",39.1024161,-108.7386773
"14","94000308",NA,"Saddlehorn Utility Area Historic District","Colorado","Mesa","Grand Junction","Colorado National Monument","Listed","Multiple",FALSE,0.9,"Architecture; Social History","District","https://catalog.archives.gov/id/84127167",FALSE,FALSE,FALSE,TRUE,FALSE,1994-04-21,NA,NA,"Colorado","94000308","Saddlehorn Utility Area","Saddlehorn Utility Area Historic District, Mesa, Colorado",39.1024161,-108.7386773
"15","100011176","MP","Chapin Mesa Village Historic District","Colorado","Montezuma","Mesa Verde National Park","Chapin Mesa, Headquarters Loop Road","Listed","Multiple",FALSE,10,"Architecture; Community Planning And Development; Landscape Architecture; Politics/Government","District",NA,FALSE,TRUE,FALSE,FALSE,FALSE,2024-12-20,NA,"Chapin Mesa Headquarters Area; Mesa Verde Administration District ; 5MT13631; 5MT22529; 5MT13626",NA,"100011176","Chapin Mesa Village","Chapin Mesa Village Historic District, Montezuma, Colorado",39.628274628765,-106.046227230572
"16","80000918",NA,"San Juan Avenue Historic District","Colorado","Otero","La Junta","San Juan Ave.","Listed","Single",FALSE,3,"Industry; Politics/Government; Architecture","District","https://catalog.archives.gov/id/84132094",FALSE,FALSE,FALSE,TRUE,FALSE,1980-08-27,NA,NA,NA,"80000918","San Juan Avenue","San Juan Avenue Historic District, Otero, Colorado",37.817921784816,-103.774958283132
"17","83003537",NA,"Ouray Historic District","Colorado","Ouray","Ouray","US 550","Listed","Single",FALSE,114,"Industry; Architecture","District","https://catalog.archives.gov/id/84132254",FALSE,FALSE,FALSE,TRUE,FALSE,1983-10-06,NA,NA,NA,"83003537","Ouray","Ouray Historic District, Ouray, Colorado",38.0227509,-107.6714989
