"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"69","10000348",NA,"Mountain Home Commercial Historic District","Arkansas","Baxter","Mountain Home","Roughly bounded on the N by E 5th St, E 9th St on the S, S St on the E, and Hickory St on the W","Listed","Single",FALSE,16.4,"Commerce; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2010-06-15,NA,"BA0155",NA,"10000348","Mountain Home Commercial","Mountain Home Commercial Historic District, Baxter, Arkansas",36.335882,-92.387497
"70","93001202",NA,"Bentonville Third Street Historic District","Arkansas","Benton","Bentonville","Roughly, 3rd St. SE. from Main St. to C St. SE.","Listed","Multiple",FALSE,10,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1993-11-12,NA,"See Also:Elliott House;Rice, James A., House",NA,"93001202","Bentonville Third Street","Bentonville Third Street Historic District, Benton, Arkansas",36.376239908083,-91.823458496679
"71","92001349",NA,"Bentonville West Central Avenue Historic District","Arkansas","Benton","Bentonville","W. Central Ave. between SW. A and SW. G Sts.","Listed","Multiple",FALSE,16,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1992-10-22,NA,"See Also:Craig--Bryan House;Jackson House;Linebarger House",NA,"92001349","Bentonville West Central Avenue","Bentonville West Central Avenue Historic District, Benton, Arkansas",36.366978766174,-94.113489891212
"72","97000791",NA,"Carl's Addition Historic District","Arkansas","Benton","Siloam Springs","Along S. College, W. Alpine, and S. Wright Sts., Bounded by Sager Cr. and W. Twin Springs Ave.","Listed","Multiple",FALSE,15,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1997-07-17,NA,NA,NA,"97000791","Carl's Addition","Carl's Addition Historic District, Benton, Arkansas",34.569286,-92.585398
"73","87002425","AD","Gypsy Camp Historic District","Arkansas","Benton","Siloam Springs","Off AR 59","Listed","Add.doc.",FALSE,11.5,"Entertainment/Recreation; Architecture","Building",NA,FALSE,FALSE,TRUE,TRUE,FALSE,1988-01-28,NA,NA,NA,"87002425","Gypsy Camp","Gypsy Camp Historic District, Benton, Arkansas",34.87,-92.8208333
"74","07000445",NA,"Pea Ridge Commercial Historic District","Arkansas","Benton","Pea Ridge","Pickens St. roughly be. Greene St. and Davis St. and Curtis Ave. roughly bet. Pike St. and Macintosh St.","Listed","Multiple",FALSE,6,"Commerce; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2007-05-22,NA,"BE 3155; BE3152; BE3153; BE1354; BE1353; BE1352; BE3166; BE3167; BE1355; BE1356; BE3168; BE3162; BE3160; BE3159",NA,"07000445","Pea Ridge Commercial","Pea Ridge Commercial Historic District, Benton, Arkansas",36.3329882,-94.1167586
"75","98001482",NA,"Rogers Commercial Historic District (Boundary Increase Ii)","Arkansas","Benton","Rogers","120 S. Second St.","Listed","Multiple",FALSE,0.9,"Architecture","Building",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1998-12-09,NA,"BEI733;Edwards Grocery;Watson's Goodyear Store",NA,"98001482","Rogers Commercial (Boundary Increase Ii)","Rogers Commercial Historic District (Boundary Increase Ii), Benton, Arkansas",36.3329882,-94.1167586
"76","12000855",NA,"Rogers Commercial Historic District (Boundary Increase Iii)","Arkansas","Benton","Rogers","300 blk. S. 1st, 100 blk. S. 2nd, 200 blk. W. Walnut, & 200 blk. W. Elm Sts.","Listed","Multiple",FALSE,0.9,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2012-10-17,NA,NA,NA,"12000855","Rogers Commercial (Boundary Increase Iii)","Rogers Commercial Historic District (Boundary Increase Iii), Benton, Arkansas",36.3329882,-94.1167586
"77","02001079",NA,"Rogers Commercial Historic District (Boundary Increase)","Arkansas","Benton","Rogers","116 S, Second St.","Listed","Multiple",FALSE,0.9,"Architecture","Building",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2002-10-04,NA,"Victory Theater",NA,"02001079","Rogers Commercial (Boundary Increase)","Rogers Commercial Historic District (Boundary Increase), Benton, Arkansas",36.3329882,-94.1167586
"78","93001028",NA,"Rogers Commercial Historic District (Boundary Increase)","Arkansas","Benton","Rogers","Roughly bounded by Walnut, First, Poplar and Second Sts.","Listed","Multiple",FALSE,7,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1993-09-30,NA,"Walnut Street Historic District (Boundary Increase);See Also",NA,"93001028","Rogers Commercial (Boundary Increase)","Rogers Commercial Historic District (Boundary Increase), Benton, Arkansas",36.3329882,-94.1167586
