"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","12000425",NA,"Hunters Point Commercial Drydock Historic District","California","San Francisco","San Francisco","E. of jct. of Fisher Ave. & Robinson Dr.","Listed","Single",FALSE,19,"Commerce; Industry; Engineering; Architecture","District","https://catalog.archives.gov/id/123861175",FALSE,FALSE,TRUE,FALSE,FALSE,2012-07-25,NA,"U.S. Naval Shipyard, Hunters Point; San Francisco Naval Shipyard",NA,"12000425","Hunters Point Commercial Drydock","Hunters Point Commercial Drydock Historic District, San Francisco, California",37.725246,-122.368661
"2","71000186",NA,"Jackson Square Historic District","California","San Francisco","San Francisco","Roughly bounded by Broadway on N, Sansome St. on E, Washington St. on S, and Columbus Ave. on W","Listed","Single",FALSE,14.2,"Commerce; Architecture","District","https://catalog.archives.gov/id/123861181",FALSE,FALSE,FALSE,TRUE,FALSE,1971-11-18,NA,NA,NA,"71000186","Jackson Square","Jackson Square Historic District, San Francisco, California",37.79687,-122.40303
"3","83001230",NA,"Liberty Street Historic District","California","San Francisco","San Francisco","Roughly 15-188 Liberty St.","Listed","Single",FALSE,4,"Architecture","District","https://catalog.archives.gov/id/123861194",FALSE,FALSE,FALSE,TRUE,FALSE,1983-09-15,NA,NA,NA,"83001230","Liberty Street","Liberty Street Historic District, San Francisco, California",37.75743,-122.4233
"4","06000372",NA,"Port Of San Francisco Embarcadero Historic District","California","San Francisco","San Francisco","From Pier 45 to Pier 48, The Embarcadero","Listed","Single",FALSE,60,"Politics/Government; Commerce; Transportation; Architecture; Community Planning And Development; Engineering","District","https://catalog.archives.gov/id/123861257",FALSE,TRUE,FALSE,FALSE,FALSE,2006-05-12,NA,NA,NA,"06000372","Port Of San Francisco Embarcadero","Port Of San Francisco Embarcadero Historic District, San Francisco, California",37.8005179,-122.3984923
"5","78000757",NA,"San Francisco Civic Center Historic District","California","San Francisco","San Francisco","Roughly bounded by Golden Gate Ave., 7th, Franklin, Hayes, and Market Sts.","Listed","Single",FALSE,45.6,"Community Planning And Development; Landscape Architecture; Art; Entertainment/Recreation; Politics/Government; Architecture; Social History","District","https://catalog.archives.gov/id/123861280",FALSE,TRUE,FALSE,FALSE,FALSE,1978-10-10,1987-02-27,"San Francisco Civic Center National Historic Landmark",NA,"78000757","San Francisco Civic Center","San Francisco Civic Center Historic District, San Francisco, California",37.77937,-122.41775
"6","08000085",NA,"Senior Officers Quarters Historic District, Yerba Buena Island","California","San Francisco","Yerba Buena Island","Whiting Way at Northgate Rd., North shore of Yerba Buena Island","Listed","Single",FALSE,3,"Military; Architecture","District","https://catalog.archives.gov/id/123861303",FALSE,FALSE,FALSE,TRUE,FALSE,2008-02-26,NA,"Senoir Officers' Quarters Historic District; National Station Treasure Island",NA,"08000085","Senior Officers Quarters, Yerba Buena Island","Senior Officers Quarters Historic District, Yerba Buena Island, San Francisco, California",37.7800771,-122.4201615
"7","89000319",NA,"Southern Pacific Company Hospital Historic District","California","San Francisco","San Francisco","1400 Fell St.","Listed","Single",FALSE,2.5,"Transportation; Health/Medicine; Architecture","District","https://catalog.archives.gov/id/123861311",FALSE,FALSE,TRUE,FALSE,FALSE,1989-05-05,NA,NA,NA,"89000319","Southern Pacific Company Hospital","Southern Pacific Company Hospital Historic District, San Francisco, California",37.7741,-122.44192
"8","100007846","SG","St. Francis Wood Historic District","California","San Francisco","San Francisco","Bounded by Portola Dr., San Pablo and Santa Paula Aves., San Jacinto Way, San Andreas Way, Junipero Serra and Monterey Blvds.","Listed","Single",FALSE,127,"Architecture; Community Planning And Development; Landscape Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2022-06-30,NA,NA,NA,"100007846","St. Francis Wood","St. Francis Wood Historic District, San Francisco, California",37.736691,-122.466078
"9","14000150",NA,"Union Iron Works Historic District","California","San Francisco","San Francisco","E. of Illinois between 18th & 22nd Sts.","Listed","Single",FALSE,66,"Maritime History; Industry; Architecture","District",NA,FALSE,TRUE,FALSE,TRUE,FALSE,2014-04-17,NA,"Potero Works, Union Yard, Bethlehem Steel Yard; Potrero Yard, San Francisco Yard",NA,"14000150","Union Iron Works","Union Iron Works Historic District, San Francisco, California",37.76196,-122.38569
"10","08001407",NA,"Uptown Tenderloin Historic District","California","San Francisco","San Francisco","All or part of 33 blocks roughly bounded by Market, McAllister, Golden Gate, Larkin, Geary, Taylor, Ellis Sts.","Listed","Single",FALSE,110,"Architecture; Social History","District","https://catalog.archives.gov/id/123861345",FALSE,FALSE,FALSE,TRUE,FALSE,2009-02-05,NA,"Tenderloin",NA,"08001407","Uptown Tenderloin","Uptown Tenderloin Historic District, San Francisco, California",37.78394,-122.41744
