"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","94001482","AD","Del Norte Place Historic District","Arizona","Maricopa","Phoenix","Virginia Ave. to Encanto Blvd. and 15th to 17th Aves.","Listed","Add.doc.",FALSE,37.8,"Architecture; Community Planning And Development; Politics/Government","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1994-12-21,NA,"Del Norte Place Subdivision",NA,"94001482","Del Norte Place","Del Norte Place Historic District, Maricopa, Arizona",33.29379035518,-111.837165087621
"2","06000468",NA,"Earll Place Historic District","Arizona","Maricopa","Phoenix","1620-1722 E. Pinchot Ave., 1617-1731 and 1736 E. Earll Dr.","Listed","Single",FALSE,11,"Community Planning And Development; Architecture","District","https://catalog.archives.gov/id/75610155",FALSE,FALSE,FALSE,TRUE,FALSE,2006-06-09,NA,NA,NA,"06000468","Earll Place","Earll Place Historic District, Maricopa, Arizona",33.46433,-111.86094
"3","00000102",NA,"East Alvarado Historic District","Arizona","Maricopa","Phoenix","E. Alvarado Rd. bet. 3rd and 7th Sts.","Listed","Multiple",FALSE,5.5,"Architecture; Community Planning And Development","District","https://catalog.archives.gov/id/75608461",FALSE,FALSE,FALSE,TRUE,FALSE,2000-02-18,NA,NA,NA,"00000102","East Alvarado","East Alvarado Historic District, Maricopa, Arizona",33.471014990225,-112.338556969696
"4","10000322",NA,"East Evergreen Historic District","Arizona","Maricopa","Phoenix","Roughly bounded by McDowell Rd, 3rd St, 7th St, and Willetta St.","Listed","Multiple",FALSE,NA,"Architecture; Community Planning And Development","District","https://catalog.archives.gov/id/75608459",FALSE,FALSE,FALSE,TRUE,FALSE,2010-06-10,NA,"Evans Addition; Lynwood Place",NA,"10000322","East Evergreen","East Evergreen Historic District, Maricopa, Arizona",33.492145614243,-112.506834891873
"5","10000323",NA,"Encanto Manor Historic District","Arizona","Maricopa","Phoenix","Roughly bounded by 7th and 15th Aves and Thomas Rd and Edgemont Ave","Listed","Multiple",FALSE,30,"Architecture; Community Planning And Development","Building","https://catalog.archives.gov/id/75608621",FALSE,FALSE,FALSE,TRUE,FALSE,2010-06-10,NA,"Encanto Dell",NA,"10000323","Encanto Manor","Encanto Manor Historic District, Maricopa, Arizona",33.483363653543,-112.054220512529
"6","10000324",NA,"Encanto Vista Historic District","Arizona","Maricopa","Phoenix","Roughly bounded by 7th Ave, Encanto Blvd, Windsor Ave, and Encanto Park Municipal Golf Course","Listed","Multiple",FALSE,25,"Architecture; Community Planning And Development","District","https://catalog.archives.gov/id/75608623",FALSE,FALSE,FALSE,TRUE,FALSE,2010-06-10,NA,"Encancto Vista Historic District",NA,"10000324","Encanto Vista","Encanto Vista Historic District, Maricopa, Arizona",33.449547650275,-112.562982677745
"7","84000696",NA,"Encanto-Palmcroft Historic District","Arizona","Maricopa","Phoenix","Roughly bounded by N. 7th and 15th Aves., McDowell and Thomas Rds.","Listed","Single",FALSE,208.4,"Community Planning And Development; Landscape Architecture; Politics/Government; Architecture","District","https://catalog.archives.gov/id/75610047",FALSE,FALSE,FALSE,TRUE,FALSE,1984-02-16,NA,"See Also:Encanto-Palmcroft Historic District (Boundary Incre",NA,"84000696","Encanto-Palmcroft","Encanto-Palmcroft Historic District, Maricopa, Arizona",33.46433,-111.86094
"8","94000461",NA,"Encanto-Palmcroft Historic District (Boundary Increase Ii)","Arizona","Maricopa","Phoenix","Roughly bounded by Encanto Blvd., Coronado Rd., 7th Ave. and 15th Ave.","Listed","Single",FALSE,0.9,"Architecture; Landscape Architecture; Community Planning And Development","District","https://catalog.archives.gov/id/75610009",FALSE,FALSE,FALSE,TRUE,FALSE,1994-05-19,NA,NA,NA,"94000461","Encanto-Palmcroft (Boundary Increase Ii)","Encanto-Palmcroft Historic District (Boundary Increase Ii), Maricopa, Arizona",33.055807,-112.045721
"9","16000722",NA,"Encanto-Palmcroft Historic District (Boundary Increase Iii)","Arizona","Maricopa","Phoenix","2700 N. 15th Ave.","Listed","Single",FALSE,NA,"Community Planning And Development; Entertainment/Recreation","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2017-11-03,NA,NA,NA,"16000722","Encanto-Palmcroft (Boundary Increase Iii)","Encanto-Palmcroft Historic District (Boundary Increase Iii), Maricopa, Arizona",33.055807,-112.045721
"10","92000670",NA,"Encanto-Palmcroft Historic District (Boundary Increase)","Arizona","Maricopa","Phoenix","Holly St. from 15th Ave. to 12th Ave. and 12th from Holly to Encanto Blvd.","Listed","Single",FALSE,5,"Community Planning And Development; Landscape Architecture; Politics/Government; Architecture","District","https://catalog.archives.gov/id/75610007",FALSE,FALSE,FALSE,TRUE,FALSE,1992-06-10,NA,"See Also:Encanto--Palmcroft Historic District",NA,"92000670","Encanto-Palmcroft (Boundary Increase)","Encanto-Palmcroft Historic District (Boundary Increase), Maricopa, Arizona",33.055807,-112.045721
