museum_url,category,museum_name,street_address,state,country,full_address,website_link,latitude,longitude
https://whichmuseum.com/museum/freedom-park-omaha-31925,Science & Technology,Freedom Park,2497 Freedom Park Rd,Nebraska,United States,"2497 Freedom Park Rd, Nebraska, United States",https://parks.cityofomaha.org/parks/freedom-park,41.2768337,-95.9017036
https://whichmuseum.com/museum/pensacola-lighthouse-maritime-museum-31933,History & Anthropology,Pensacola Lighthouse & Maritime Museum,2081 Radford Blvd,Florida,United States,"2081 Radford Blvd, Florida, United States",https://www.pensacolalighthouse.org/,30.3461318,-87.3080929
https://whichmuseum.com/museum/falls-of-the-ohio-state-park-clarksville-32200,Nature & Natural History,Falls of the Ohio State Park,201 W Riverside Dr,Indiana,United States,"201 W Riverside Dr, Indiana, United States",https://www.fallsoftheohio.org/,38.2765963,-85.7635077
https://whichmuseum.com/museum/museum-of-illusions-salt-lake-city-48715,NA,Museum of Illusions Salt Lake City,110 South Rio Grande Street,Utah,United States,"110 South Rio Grande Street, Utah, United States",https://moisaltlakecity.com/,40.7667444,-111.9041614
https://whichmuseum.com/museum/asheville-pinball-museum-10227,Specialized & Alternative,Asheville Pinball Museum,1 Battle Square,North Carolina,United States,"1 Battle Square, North Carolina, United States",http://ashevillepinball.com,35.5964599,-82.5569226
https://whichmuseum.com/museum/mackinaw-bridge-museum-mackinaw-city-10299,History & Anthropology,Mackinaw Bridge Museum,231 E Central Ave,Michigan,United States,"231 E Central Ave, Michigan, United States",http://www.mightymac.org/bridgemuseum.htm,45.7818575,-84.7280012
https://whichmuseum.com/museum/western-antique-aeroplane-automobile-museum-hood-river-12675,Science & Technology,Western Antique Aeroplane & Automobile Museum,Air Museum Road 1600,Oregon,United States,"Air Museum Road 1600, Oregon, United States",http://www.waaamuseum.org,45.6765759,-121.5415628
https://whichmuseum.com/museum/redwood-library-and-athenaeum-newport-31935,History & Anthropology,Redwood Library and Athenaeum,50 Bellevue Ave,Rhode Island,United States,"50 Bellevue Ave, Rhode Island, United States",https://www.redwoodlibrary.org,41.8530146,-71.4540387
https://whichmuseum.com/museum/camp-floyd-state-park-museum-fairfield-31973,History & Anthropology,Camp Floyd State Park Museum,69 W Main St,Utah,United States,"69 W Main St, Utah, United States",https://stateparks.utah.gov/parks/camp-floyd/,39.5995,-110.8124818
https://whichmuseum.com/museum/backbone-state-park-dundee-31974,NA,Backbone State Park,1347 129th St,Iowa,United States,"1347 129th St, Iowa, United States",https://www.iowadnr.gov/Places-to-Go/State-Parks/Iowa-State-Parks/Backbone-State-Park,42.600787,-91.5328746
