Name,Street Address,City,State,PostalCode,Latitude,Longitude
National Comedy Hall of Fame Museum,2435 Us Highway 19 Ste 350,Holiday,FL,34691,28.193897,-82.74018
Historical Society Museum,115 Westview Ave,Valparaiso,FL,32580,30.504446,-86.4901
USS Silversides Submarines Museum,1346 Bluff St,Muskegon,MI,49441,43.229664,-86.33283
Communal Kitchen Museum,1003 26th Ave,Middle Amana,IA,52307,41.7951,-91.9026
Belskie Museum of Art & Science,280 High St,Closter,NJ,07624,40.974537,-73.96759
Castle Air Museum Foundation,3040 A St,Atwater,CA,95301,37.362904,-120.56593
High Museum of Art,1280 Peachtree St NE,Atlanta,GA,30309,33.789696,-84.384705
Atka Lakota Museum,1301 N Main St,Chamberlain,SD,57325,43.822674,-99.32533
Grundy County Museum,204 4th St,Morrison,IA,50657,42.34163,-92.67479
Fennville Childrens Museum At,202 E Main St,Fennville,MI,49408,42.59414,-86.10358
Sephardic Heritage Museum,25 W 39th St,New York,NY,10018,40.75248,-73.984024
Children's Toy and Doll Museum,206 Gilman Ave,Marietta,OH,45750,39.409767,-81.459526
Eaton House Museum,1520 West St,Redding,CA,96001,40.582516,-122.39726
History Museum-Western VA,1 Market Sq SE,Roanoke,VA,24011,37.271652,-79.93862
Dakota Sunset Museum,205 W Commercial Ave Ste 104,Gettysburg,SD,57442,45.011284,-99.957375
Grant County Museum,105 E Harrison St,Hyannis,NE,69350,42.000137,-101.7615
Corning Museum of Glass,1 Museum Way,Corning,NY,14830,42.149185,-77.05769
New Orleans Fire Museum,1135 Washington Ave,New Orleans,LA,70130,29.92682,-90.08274
Griffin Museum of Photography,67 Shore Rd,Winchester,MA,01890,42.454758,-71.135895
The Bellarmine Museum Of Art,1073 N Benson Road Bellarmine,Fairfield,CT,06824,41.1643,-73.2664
South Dakota Art Museum,1036 Medary Ave,Brookings,SD,57006,44.317856,-96.78823
Anna Palmer Museum,211 E 7th St,York,NE,68467,40.868073,-97.59101
The Children's Museum of Oswego,7 W Bridge St,Oswego,NY,13126,43.45678,-76.51096
Warren Icbm and Heritage Museum,7405 Marne Loop Bldg 210,Cheyenne,WY,82005,41.15472,-104.86758
The National Apple Museum,154 Hanover St,New Oxford,PA,17350,39.861416,-77.05372
Museum Of Southwestern Biology,325 9th Ave,Seattle,WA,98104,47.603596,-122.32319
Paulding John Historical Museum,600 Fairground Dr,Paulding,OH,45879,41.132324,-84.585655
Lyon County Museum,215 S Main St,Yerington,NV,89447,38.984074,-119.16341
1876 Banwarth House & Museum,408 E Sycamore St,Elizabeth,IL,61028,42.317844,-90.21965
East Hampton TWN Marine Museum,301 Bluff Rd,Amagansett,NY,11930,40.97088,-72.1302
KidsPlay Children's Museum,61 E Main St,Torrington,CT,06790,41.80141,-73.12024
Patuxent Rural Life Museums,16000 Croom Airport Rd,Upper Marlboro,MD,20772,38.753674,-76.71002
Hancock County Museum,110 River St,Hawesville,KY,42348,37.9018,-86.74713
Sing Sing Prison Museum,354 Hunter St,Ossining,NY,10562,41.15314,-73.86874
Museum of Modern Art,5 Brick Plant Rd,South River,NJ,08882,40.46102,-74.39328
Wyandott Popcorn Museum,3453 Mautz Yeager Rd,Marion,OH,43302,40.520844,-83.043816
Jaketown Museum,110 Magnolia,Belzoni,MS,39038,33.176056,-90.48928
Museum Bluffs Parkview Condo,129 Walnut St,Chattanooga,TN,37403,35.055298,-85.30779
Shaker Historical Museum,16740 S Park Blvd,Cleveland,OH,44120,41.482574,-81.562126
The Lace Museum,133 W Main St,Northville,MI,48167,42.430897,-83.48411
Madison Childrens Museum,100 State St Ste 100,Madison,WI,53703,43.074863,-89.38655
Hoboken Historical Museum,1301 Hudson St,Hoboken,NJ,07030,40.752277,-74.02505
Elgin History Museum,360 Park St,Elgin,IL,60120,42.040924,-88.27748
Elwood House Museum & Park,1403 Sycamore Rd,Dekalb,IL,60115,41.943962,-88.73671
Madeline Island Museum,PO Box 9,La Pointe,WI,54850,46.7929,-90.7357
Kelch Aviation Museum Inc,N2463 Airport Rd,Brodhead,WI,53520,42.595062,-89.37692
Traer Historical Museum,514 2nd St,Traer,IA,50675,42.193523,-92.46727
Ursulas Museum CafÃƒÂ©,901 S College St,Auburn,AL,36830,32.588028,-85.48509
Phillips County Museum,431 Highway 2 E,Malta,MT,59538,48.2703,-107.8855
New England Air Museum,36 Perimeter Rd,Windsor Locks,CT,06096,41.946617,-72.690735
Mclean County Museum,610 E Avenue A,Bismarck,ND,58501,46.809753,-100.78372
Hemet Museum,100 W Florida Ave,Hemet,CA,92543,33.747673,-116.97236
Waco Air Museum,1865 S County Road 25a,Troy,OH,45373,40.01266,-84.20057
Washington's Western Lands Museum,220 Riverfront Park,Ravenswood,WV,26164,38.94311,-81.75876
Museum - Oren Dunn/ Ballard Park,Hwy 6 West,Tupelo,MS,38801,34.2327,-88.7504
Museum at FIT,Seventh Avenue at 27th Street,New York,NY,10001,40.7509,-73.9974
Liberty Aviation Museum,3515 East State Road,Port Clinton,OH,43452,41.50843,-82.86429
Rooks County Historical Museum,921 N Cedar St,Stockton,KS,67669,39.446133,-99.27525
Revolving Museum,122 Western Ave,Lowell,MA,01851,42.63992,-71.32096
Bliss House Museum,1809 NW Johnson St,Portland,OR,97209,45.52867,-122.68966
Harland Sanders Cafe And Museum,688 Us Highway 25 W,Corbin,KY,40701,36.95993,-84.09335
Providence Children's Museum,100 South St,Providence,RI,02903,41.816532,-71.4095
Museums Richard W,2 Lewis St,Haledon,NJ,07508,40.941383,-74.1889
Museum Walk Apt,2365 Pine Tree Dr,Miami Beach,FL,33140,25.800182,-80.1296
"Museum of Impressionism, Durango",445 Albrecht Ln,Durango,CO,81301,37.41012,-107.82811
Grand River Museum,114 10th St W,Lemmon,SD,57638,45.935074,-102.161255
Tremont Museum & Historical Society,Sampson & Madison St,Tremont,IL,61568,40.5112,-89.4815
Tennessee State Museum,505 Deaderick St,Nashville,TN,37243,36.16508,-86.781654
Historic Pools Museum,401 Little White House Rd,Warm Springs,GA,31830,32.88297,-84.6836
Michelson-Reves Museum of Art,216 S Wellington St,Marshall,TX,75670,32.543858,-94.368195
Datsun Heritage Museum,41610 Date St Ste 103,Murrieta,CA,92562,33.527775,-117.17708
Pender County Museum,100 W Bridgers St,Burgaw,NC,28425,34.552753,-77.92754
Hesston Steam Museum,1201 E 1000 N,La Porte,IN,46350,41.752884,-86.68011
Chazen Museum of Art,750 University Ave,Madison,WI,53706,43.073376,-89.398865
Children's Discovery Museum,2727 S Us Highway 169,Grand Rapids,MN,55744,47.206814,-93.52896
Franconia Heritage Museum,553 Main St,Franconia,NH,03580,44.22518,-71.740875
The Fort Museum & Frontier Village,1 Museum Rd,Fort Dodge,IA,50501,42.48729,-94.198586
Tri-State Museum,415 5th Ave,Belle Fourche,SD,57717,44.67475,-103.85346
Stone County Museum,985 Us Highway 12,Ortonville,MN,56278,45.29843,-96.438774
McClain Museum,2330 Crystal St,Anderson,IN,46012,40.140358,-85.67414
Coastal Childrens Museum,75 Mechanic St,Rockland,ME,04841,44.094147,-69.10509
National Great Rivers Museum,2 Lock And Dam Way,East Alton,IL,62024,38.869255,-90.146095
Little Nature Museum,216 Tucker Dr,Contoocook,NH,03229,43.190605,-71.72291
Bucks County Children's Museum,9 Market Pl,New Hope,PA,18938,40.35846,-74.976456
Genesee Warbirds Aviation Museum,16 W Main St,Rochester,NY,14614,43.155735,-77.61306
Noyes Museum,"733 Lily Lake Rd,",Oceanville,NJ,08231,39.4711,-74.4608
Ronald Reagan Museum,300 E College Ave,Eureka,IL,61530,40.71429,-89.269905
Huber Machinery Museum,220 E Fairground St,Marion,OH,43302,40.600418,-83.12564
Shelby County Museum,1805 Morse Ave,Harlan,IA,51537,41.651115,-95.3274
Maneuvers & Military Museum,623 G St,Pineville,LA,71360,31.370705,-92.40044
City of Melbourne History Museum,915 Main St,Melbourne,AR,72556,36.058765,-91.89096
Serbian American Museum St Sava,448 W Barry Ave,Chicago,IL,60657,41.937843,-87.6413
Audrain Historical Museum,501 S Muldrow St,Mexico,MO,65265,39.169296,-91.88876
Loln County Museum of History,403 E Main St,Lincolnton,NC,28092,35.473053,-81.25219
Fort Smith Air Museum,3 Glen Haven Dr,Fort Smith,AR,72901,35.35495,-94.40798
Liberty Bell Memorial Museum,1601 Oak St,Melbourne,FL,32901,28.084005,-80.61467
Wausau Museum of Contemporary Art,309 Mcclellan St,Wausau,WI,54403,44.961357,-89.62748
Aviation Museum at Garner Field,201 Sul Ross Dr,Uvalde,TX,78801,29.219156,-99.74234
Hagley Museum,201 Hagley Creek Rd,Wilmington,DE,19807,39.784428,-75.577545
Norwalk Museum,41 N Main St,Norwalk,CT,06854,41.10002,-73.418686
The Childrens Museum of Nwa,100 NW 2nd St,Bentonville,AR,72712,36.373077,-94.209
Rea Power Plant Museum,1008 Central Ave W,Hampton,IA,50441,42.741585,-93.2198
Hudson Museum Umo,5746 Maine Center For Arts,Orono,ME,04469,44.9019,-68.6616
Vanderbilt Museum,180 Little Neck Rd,Centerport,NY,11721,40.903355,-73.36822
EverWonder Children's Museum,31 Pecks Ln,Newtown,CT,06470,41.38526,-73.280304
Herschell Carrousel Factory Museum,180 Thompson St,North Tonawanda,NY,14120,43.02954,-78.872856
Sgt Floyd River Museum,1000 Larsen Park Rd,Sioux City,IA,51103,42.490936,-96.41558
Mcdowell House Museum,125 S 2nd St,Danville,KY,40422,37.64542,-84.77103
Heritage Square Museum Business,251 S Lake Ave,Pasadena,CA,91101,34.14153,-118.13254
Glazer Children's Museum,1107 E Jackson St Ste 101,Tampa,FL,33602,27.949198,-82.45065
Amstel House Museum and Gardens,2 E 4th St,Historic New Castle,DE,19720,39.660675,-75.56484
Mount Holyoke College Art Museum,Lower Lake Road,South Hadley,MA,01075,42.25293,-72.574844
Kittson County Museum,332 E Main St,Lake Bronson,MN,56734,48.73514,-96.65905
Venice Museum and Archives,351 Nassau St S,Venice,FL,34285,27.094976,-82.44758
Limon Heritage Museum,48299 State Road 71,Limon,CO,80828,39.204952,-103.69586
Henderson County Hstrcl Museum,310 E Main St,Raritan,IL,61471,40.695942,-90.82237
