"Name","Latitude","Longitude","capacity"
"Centrum Arena",37.675482,-113.0729521,NA
"CFG Bank Arena",39.2887054,-76.6187227,13000
"CFSB Center",36.6226577,-88.3199823,8600
"Chaifetz Arena",38.632486,-90.227859,10600
"Charles E. Smith Center",38.8978174,-77.04934,4057
"Charles Koch Arena",37.7217049,-97.29736,10506
"Charleston Civic Center",38.3559096,-81.6396834,12337
"Chartway Arena",36.8841217,-76.3014114,8472
"Chase Center",37.7678774,-122.3874542,18064
"Chase Family Arena",41.7989656,-72.7112076,3507
"CHI Health Center Omaha",41.2626383,-95.9281218,17352
"Chiles Center",45.5750895,-122.7284753,4852
"Chilliwack Coliseum",49.1696465,-121.9690776,5058
"Christl Arena",41.3863962,-73.9656258,5043
"Cintas Center",39.1502227,-84.4718922,10224
"Cleveland Public Auditorium",41.5036739,-81.6930473,6500
"Climate Pledge Arena",47.6220922,-122.3540655,17100
"Clune Arena",39.0129067,-104.8868716,5508
"Coca-Cola Coliseum",43.6355627,-79.4150162,NA
"Coleman Coliseum",33.2030015,-87.5396982,13474
"College Park Center",32.7307397,-97.1083047,7000
"Colonial Life Arena",33.9948251,-81.0373021,18000
"Columbus Civic Center",32.450272,-84.987681,7259
"Comerica Center",33.1005971,-96.8199671,4500
"Compton Family Ice Arena",41.6938368,-86.230756,5022
"Conte Forum",42.3350211,-71.1676688,8606
"Corbin Arena",36.9133256,-84.1248884,4966
"Corbett Sports Center",36.0767222,-79.768805,5700
"Corteva Coliseum",39.8275926,-86.1350228,6800
"Coussoulis Arena",34.1827623,-117.3196399,4140
"Covelli Center",40.0138491,-83.0280145,3700
"Covelli Centre",41.0961627,-80.6479847,5700
"Credit Union 1 Arena",41.8748177,-87.6561838,8000
"Credit Union of Texas Event Center",33.1274167626235,-96.6548180580139,6200
"Crisler Center",42.2650033,-83.7466658,12707
"Cross Insurance Arena",43.6555241,-70.2592451,5327
"Cross Insurance Center",44.789092,-68.7791348,5800
"Crown Coliseum",35.0151654,-78.891728,8500
"Crypto.com Arena",34.0430587,-118.2672107,19079
"CU Events Center",40.004706,-105.2605248,11064
"Curb Event Center",36.1323032,-86.7946315,5000
"Curtis Culwell Center",32.9593006,-96.6419865,6800
"Dahlberg Arena",46.8638443,-113.983326,7322
"Davey L. Whitney Complex",31.8732482,-91.1332387,NA
"David R. Stopher Gym",29.7923417,-90.8013529,3800
"DCU Center",42.2649676,-71.7989641,12135
"Dean E. Smith Center",35.8994363,-79.0440078,21750
"Dee Events Center",41.1823281,-111.9450402,11500
"Dee Glen Smith Spectrum",41.7475984,-111.8119276,10270
"Delmar Fieldhouse",29.8027837,-95.4571664,5000
"Delta Center",40.7682811,-111.9012022,18175
"Denny Sanford Premier Center",43.5607554,-96.7516565,10678
"Denver Coliseum",39.7791355,-104.9707228,9340
"Desert Diamond Arena",33.531939,-112.2616902,17125
"Desert Financial Arena",33.424484,-111.9310606,14198
"Dickies Arena",32.7409071,-97.3698005,13300
"Dignity Health Arena",35.3719749,-119.0134549,8751
"D.L. Ligon Coliseum",33.8718587,-98.5197151,3640
"Donald L. Tucker Center",30.4376851,-84.2866588,11500
"Don Haskins Center",31.7773813,-106.5055257,11892
"Dort Federal Event Center",43.0109236,-83.6418021,4339
"Dow Event Center",43.4360194,-83.937006,4213
"Dunkin' Donuts Center",41.8236692,-71.4183426,NA
"Dunn-Oliver Acadome",32.3618202,-86.2930477,NA
"E.A. Diddle Arena",36.9862629,-86.457628,7523
"EagleBank Arena",38.8266574,-77.309525,7688
"Hooper Eblen Center",36.1784406,-85.5098963,7500
"Echols Hall",36.8476031,-76.2612748,4500
"Ector County Coliseum",31.8840123,-102.3869348,4725
"Ed and Rae Schollmaier Arena",32.7088236,-97.3666979,6800
"Ed Lumley Arena",45.0143766,-74.7233177,4828
"Ed Robson Arena",38.8460628,-104.8223718,3400
"Elam Center",36.3435534,-88.8680542,4300
"Ellis Davis Field House",32.6373421,-96.8422723,7500
"Ellis T. Johnson Arena",38.1903417,-83.4257877,6500
"Enmarket Arena",32.0740544,-81.1115351,6876
"Enterprise Center",38.6267951,-90.2026784,18096
"Erie Insurance Arena",42.1280126,-80.0809014,6500
"Events Center",42.0934995,-75.9718993,4421
"ExtraMile Arena",43.6036014,-116.1989379,12480
"F&M Bank Arena",36.5294462,-87.3602213,NA
"Fair Park Coliseum",32.7792981,-96.757219,5768
"Family Arena",38.7477493,-90.5092764,10000
"Fant-Ewing Coliseum",32.5310573,-92.0694315,NA
"Farris Center",35.0818484,-92.4594945,5500
"FedEx Forum",35.1381248,-90.0505972,18400
"Felix Event Center",34.1338047,-117.8833437,3500
"Felton J. Capel Arena",35.075799,-78.8957405,5000
"Ferrell Center",31.5479292,-97.1056008,10284
"Fertitta Center",29.724685,-95.3469837,7035
"F.G. Clark Activity Center",30.5217608,-91.1854076,7500
"Fifth Third Arena",39.1311672,-84.5141316,12012
"Findlay Toyota Center",34.5891633,-112.3361921,5100
"Finneran Pavilion",40.0340591,-75.3365082,6501
"First Bank & Trust Arena",44.3185096,-96.7787683,5000
"First Horizon Coliseum",36.0597852,-79.8256732,22000
"First Interstate Arena",45.800295,-108.477559,8700
"First Interstate Bank Center",44.2356504,-121.1839539,4000
"First National Bank Arena",35.8454216,-90.6704664,10038
"First United Bank Center",34.9809421,-101.9039869,4700
"Fiserv Forum",43.0451583,-87.917431,17341
"Fishers Event Center",39.9474538,-86.0036005,7500
"Fitzgerald Field House",40.4434851,-79.9641824,4122
"Fleet Farm Arena",42.4913558,-96.4072931,5800
"Florence Civic Center",34.1854648,-79.8377538,7526
"Fogelman Arena",29.9390935,-90.1207155,NA
"Food City Center",35.9511214,-83.9250219,21678
"Forbes Arena",33.7484809,-84.4170839,6000
"Ford Arena",30.0110135,-94.1796614,8500
"Ford Center",37.9719608,-87.5675905,8930
"Ford Idaho Center",43.6080375,-116.507982,12657
"Foster Auditorium",33.2077267,-87.5439334,3800
"Foster Pavilion",31.5562473,-97.121077,7500
"Fowler Events Center",33.926833,-117.4223572,5050
"Frank G. Lumpkin Jr. Center",32.5024509,-84.940179,4500
"Freedom Hall Civic Center",36.3243402,-82.3749948,6000
"Freeman Coliseum",29.4270603,-98.4394046,9000
"Frericks Center",39.7388745,-84.1790057,5000
"Frontwave Arena",33.2075872,-117.3147584,6190
"Frost Bank Center",29.4269831,-98.4374785,18418
"Gainbridge Fieldhouse",39.7639336363685,-86.1554503440857,17274
"Galen Center",34.0209817,-118.2798761,10258
"Gallagher-Iba Arena",36.1256913,-97.0650029,NA
"Gampel Pavilion",41.8052698,-72.2543979,10244
"Garrett Coliseum",32.4029865,-86.2712212,8500
"Gas South Arena",33.9914093,-84.0939796,9200
"Gateway Center Arena",33.6467689,-84.4597362,3500
"Gene Polisseni Center",43.0872489,-77.6819874,4000
"Gentile Arena",42.0004129,-87.6588821,4486
"Gentry Center",36.1690438,-86.829468,NA
"George Gervin GameAbove Center",42.2542281,-83.6473918,8754
"Georges-Vézina Centre",48.4197669,-71.0600639,NA
"Georgia State Convocation Center",33.7422867,-84.3882301,7300
"Georgia State Sports Arena",33.7515962,-84.3863323,3854
"Gersten Pavilion",33.9676772,-118.4156173,4156
"Gervais Auto Centre",46.5477122,-72.7450061,4350
"GFL Memorial Gardens",46.5135156,-84.3367624,4409
"Giant Center",40.2863108,-76.6689063,10500
"Gill Coliseum",44.5611203,-123.2804525,9604
"Global Credit Union Arena",33.5100819,-112.1289003,7000
"Golden1 Center",38.5808401,-121.4997553,17608
"Grand Casino Arena",44.9447691,-93.1012559,18300
"Great Southern Bank Arena",37.2020477,-93.2830882,11000
"Greenfield Central HS Gym",39.7917364,-85.7811327,4620
"Greensburg High School Gym",39.3413937,-85.4681657,5041
"Gregory Gym",30.2841963,-97.7364778,4000
"Greyhound Arena",34.1801662,-103.3514893,4800
"Groniger Arena",39.4804356,-88.1788552,4200
"Grossinger Motors Arena",40.4781374,-88.9961755,5667
"Gross Memorial Coliseum",38.8717317,-99.3483675,6814
"Gutterson Fieldhouse",44.4692895,-73.194201,4007
"GVSU Fieldhouse Arena",42.9669434,-85.8897615,4200
"Haas Pavilion",37.8693653,-122.2623611,11858
"Hagan Arena",39.9952379,-75.2347505,3800
"Halenbeck Hall",45.5475815,-94.1524887,6927
"Hammons Student Center",37.202193,-93.2844615,8846
