Name,Address,Latitude,Longitude,Phone,Email,Website,Website Label,Business Hours,Image URL,Description,Hyperlink,Hyperlink Label,Priority,Active
Broadview Center,,42.6820016,-73.8283825,,,,,,,,,,,TRUE
Brooks Gym,,36.3026321,-82.3703492,,,,,,,,,,,TRUE
Brookshire Grocery Arena,,32.4651837,-93.6736394,,,,,,,,,,,TRUE
Brownwood Coliseum,,31.7201911680321,-98.9782762527466,,,,,,,,,,,TRUE
Bryce Jordan Center,,40.8086772,-77.8556013,,,,,,,,,,,TRUE
Bud Walton Arena,,36.0615631,-94.1781628,,,,,,,,,,,TRUE
Budweiser Gardens,,42.9825332,-81.2524688,,,,,,,,,,,TRUE
Buford City Arena,,34.128703,-83.9874421,,,,,,,,,,,TRUE
Burns Arena,,37.1014246,-113.5670149,,,,,,,,,,,TRUE
Burton Coliseum,,30.1369995,-93.211484,,,,,,,,,,,TRUE
Butte Civic Center,,46.0018954729182,-112.519279718399,,,,,,,,,,,TRUE
CAA Arena,,44.1880049,-77.3835969,,,,,,,,,,,TRUE
CAA Centre,,43.6671801,-79.7083305,,,,,,,,,,,TRUE
Cable Dahmer Arena,,39.0399946,-94.3573667,,,,,,,,,,,TRUE
Cajundome,,30.2184597,-92.0386934,,,,,,,,,,,TRUE
Cal Farley Coliseum,,35.2081963531272,-101.830183267593,,,,,,,,,,,TRUE
Calihan Hall,,42.4143876867036,-83.1360447406769,,,,,,,,,,,TRUE
Cal U Convocation Center,,40.0632272,-79.8818333,,,,,,,,,,,TRUE
Cambellton Civic Center,,48.0108482742155,-66.668998003006,,,,,,,,,,,TRUE
Cameron Hall,,37.7885392,-79.4365275,,,,,,,,,,,TRUE
Cameron Indoor Stadium,,35.9975084,-78.9422232,,,,,,,,,,,TRUE
Cam Henderson Center,,38.4244703,-82.4250448,,,,,,,,,,,TRUE
Canada Life Centre,,49.8925609,-97.1437097,,,,,,,,,,,TRUE
Canadian Tire Centre,,45.296928,-75.9271789,,,,,,,,,,,TRUE
Cannon Activities Center,,21.6418121,-157.9241216,,,,,,,,,,,TRUE
Canton Memorial Civic Center,,40.8079626,-81.3728464,,,,,,,,,,,TRUE
Canton Memorial Field House,,40.8178691,-81.3975227,,,,,,,,,,,TRUE
Capital One Arena,,38.8981306,-77.0207691,,,,,,,,,,,TRUE
CareFirst Arena,,38.8467752,-76.9904223,,,,,,,,,,,TRUE
Carlson Center,,64.8422791,-147.7639139,,,,,,,,,,,TRUE
Carmichael Arena,,35.9095866,-79.0454131,,,,,,,,,,,TRUE
Carnesecca Arena,,40.724165,-73.7944955,,,,,,,,,,,TRUE
Carver Arena,,40.6918855,-89.5935595,,,,,,,,,,,TRUE
Carver-Hawkeye Arena,,41.6637032,-91.5545869,,,,,,,,,,,TRUE
Case Arena,,40.2807752,-86.4849184,,,,,,,,,,,TRUE
Casey's Center,,41.5926986,-93.6211109,,,,,,,,,,,TRUE
Casper Events Center,,42.8682269,-106.3327111,,,,,,,,,,,TRUE
