latitude,longitude,company,facility_name,city,state,address,products_or_focus,source_dataset,EV_facility
35.468494,-97.521264,Canoo,Oklahoma City Assembly Facility,Oklahoma City,OK,"Oklahoma City Assembly Facility, Oklahoma City, OK",Light-Duty (Class 1-2),EV manufacturing,TRUE
32.6138758,-90.0349356,Nissan,Canton Factory,Canton,MS,"Canton Factory, Canton, MS",Light-Duty (Class 1-2),EV manufacturing,TRUE
42.378363,-83.04687,General Motors,Factory ZERO Detroit-Hamtramck Assembly Center,Detroit,MI,"Factory ZERO Detroit-Hamtramck Assembly Center, Detroit, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
30.264979,-97.746598,Tesla,Gigafactory 5,Austin,TX,"Gigafactory 5, Austin, TX",Multiple Classes,EV manufacturing,TRUE
35.464095,-89.402431000000007,Ford,BlueOval Tennessee Truck Plant,Stanton,TN,"BlueOval Tennessee Truck Plant, Stanton, TN",Light-Duty (Class 1-2),EV manufacturing,TRUE
44.657422212335,-73.4411543112,Micro Bird,Micro Bird Plattsburgh Plant,Plattsburgh,NY,"Micro Bird Plattsburgh Plant, Plattsburgh, NY",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
33.656194,-83.718567,Rivian,Georgia Manufacturing Plant,Social Circle,GA,"Georgia Manufacturing Plant, Social Circle, GA",Light-Duty (Class 1-2),EV manufacturing,TRUE
48.9736433,-97.246785,Motor Coach Industries,MCI Pembina,Pembina,ND,"MCI Pembina, Pembina, ND",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
38.25752,-84.547617,Toyota,Toyota Motor Manufacturing Kentucky,Georgetown,KY,"Toyota Motor Manufacturing Kentucky, Georgetown, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
42.3950635,-83.3694956,Roush Industries,Roush Livonia Manufacturing Facility,Livonia,MI,"Roush Livonia Manufacturing Facility, Livonia, MI",Medium-Duty (Class 3-6),EV manufacturing,TRUE
42.570913,-83.034747,Stellantis,Sterling Heights Assembly Plant,Sterling Heights,MI,"Sterling Heights Assembly Plant, Sterling Heights, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
42.455747,-83.041027,Stellantis,Warren Truck Assembly Plant,Warren,MI,"Warren Truck Assembly Plant, Warren, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
36.586168,-79.3952367,RBW Sports & Classics,RBW Vehicle Assembly Plant,Danville,VA,"RBW Vehicle Assembly Plant, Danville, VA",Light-Duty (Class 1-2),EV manufacturing,TRUE
33.4151797,-111.8315,Magna International,Waymo Driver Integration Plant,Mesa,AZ,"Waymo Driver Integration Plant, Mesa, AZ",Light-Duty (Class 1-2),EV manufacturing,TRUE
35.622969,-79.076953,VinFast,Chatham County Facility,Moncure,NC,"Chatham County Facility, Moncure, NC",Multiple Classes,EV manufacturing,TRUE
42.722703,-84.561582,General Motors,Lansing Grand River,Lansing,MI,"Lansing Grand River, Lansing, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
41.698618,-83.521458,Hyundai Mobis,Mobis Toledo Assembly Plant,Toledo,OH,"Mobis Toledo Assembly Plant, Toledo, OH",Light-Duty (Class 1-2),EV manufacturing,TRUE
42.24113,-88.87316,Stellantis,Belvidere Assembly Plant,Belvidere,IL,"Belvidere Assembly Plant, Belvidere, IL",Light-Duty (Class 1-2),EV manufacturing,TRUE
39.14167,-94.61273,General Motors,GM Fairfax Assembly Plant,Kansas City,KS,"GM Fairfax Assembly Plant, Kansas City, KS",Light-Duty (Class 1-2),EV manufacturing,TRUE
40.518091,-88.995074,Rivian,Normal Factory,Normal,IL,"Normal Factory, Normal, IL",Multiple Classes,EV manufacturing,TRUE
38.300335,-87.553379,Toyota,Toyota Motor Manufacturing Indiana,Princeton,IN,"Toyota Motor Manufacturing Indiana, Princeton, IN",Light-Duty (Class 1-2),EV manufacturing,TRUE
30.264979,-97.746598,Tesla,Gigafactory 5,Austin,TX,"Gigafactory 5, Austin, TX",Multiple Classes,EV manufacturing,TRUE
37.545665,-121.985069,Tesla,Tesla Fremont Factory,Fremont,CA,"Tesla Fremont Factory, Fremont, CA",Light-Duty (Class 1-2),EV manufacturing,TRUE
35.464095,-89.402431000000007,Ford,BlueOval Tennessee Truck Plant,Stanton,TN,"BlueOval Tennessee Truck Plant, Stanton, TN",Light-Duty (Class 1-2),EV manufacturing,TRUE
30.264979,-97.746598,Tesla,Gigafactory 5,Austin,TX,"Gigafactory 5, Austin, TX",Multiple Classes,EV manufacturing,TRUE
35.226761,-80.845876,Arrival,Charlotte Microfactory,Charlotte,NC,"Charlotte Microfactory, Charlotte, NC",Multiple Classes,EV manufacturing,TRUE
34.941355,-81.0300374,Arrival,Rock Hill Microfactory,Rock Hill,SC,"Rock Hill Microfactory, Rock Hill, SC",Multiple Classes,EV manufacturing,TRUE
42.307175,-83.161995,Ford,Rouge Electric Vehicle Center,Dearborn,MI,"Rouge Electric Vehicle Center, Dearborn, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
33.656194,-83.718567,Rivian,Georgia Manufacturing Plant,Social Circle,GA,"Georgia Manufacturing Plant, Social Circle, GA",Light-Duty (Class 1-2),EV manufacturing,TRUE
37.261928,-80.145252,Mack Trucks,Roanoke Valley Operations,Salem,VA,"Roanoke Valley Operations, Salem, VA",Medium-Duty (Class 3-6),EV manufacturing,TRUE
38.25752,-84.547617,Toyota,Toyota Motor Manufacturing Kentucky,Georgetown,KY,"Toyota Motor Manufacturing Kentucky, Georgetown, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
40.394386,-105.070584,Lightning eMotors,HQ and Manufacturing Facility,Loveland,CO,"HQ and Manufacturing Facility, Loveland, CO",Medium-Duty (Class 3-6),EV manufacturing,TRUE
42.307175,-83.161995,Ford,Rouge Electric Vehicle Center,Dearborn,MI,"Rouge Electric Vehicle Center, Dearborn, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
37.545665,-121.985069,Tesla,Tesla Fremont Factory,Fremont,CA,"Tesla Fremont Factory, Fremont, CA",Light-Duty (Class 1-2),EV manufacturing,TRUE
41.459836,-88.172067,Lion Electric,Joliet Facility,Channahon,IL,"Joliet Facility, Channahon, IL",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
38.154537,-85.728374,Ford,Louisville Assembly Plant,Louisville,KY,"Louisville Assembly Plant, Louisville, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
42.722703,-84.561582,General Motors,Lansing Grand River,Lansing,MI,"Lansing Grand River, Lansing, MI",Light-Duty (Class 1-2),EV manufacturing,TRUE
