Manufacturer,Plant Name,Address,Products,latitude,longitude
Honda,"Honda Manufacturing of Alabama, LLC","1800 Honda Dr. Lincoln, Alabama 35096","Honda Odyssey, Honda Passport, Honda Pilot, Honda Ridgeline",33.616073589593,-86.145538113148
Honda,"Honda Manufacturing of Indiana, LLC","2755 N. Michigan Ave, Greensburg, Indiana 47240","Honda Civic, Honda CR-V",39.37698372145,-85.543086643118
Nissan,"Nissan North America, Inc. Smyrna","983 Nissan Dr. Smyrna, Tennessee 37167","Nissan Rogue, Nissan Pathfinder, Nissan Murano, Infiniti QX60",35.963948688453,-86.491973235501
Nissan,"Nissan North America, Inc. Canton","300 Nissan Dr. Canton, Mississippi 39046","Nissan Altima, Nissan Frontier",32.571834089501,-90.066795512134
Mazda,Mazda Toyota Manufacturing USA,"9000 Greenbrier Pkwy. Madison, Alabama 35756","Mazda CX-50, Toyota Corolla Cross",34.681007002797,-86.84942796214
Subaru,"Subaru of Indiana Automotive, Inc.","5500 Indiana 38 Lafayette, Indiana 47905","Subaru Outback, Subaru Forester, Subaru Crosstrek, Subaru Ascent",40.37451646808,-86.798991448413
Hyundai Motor Company,Hyundai Motor Manufacturing Alabama,"700 Hyundai Blvd. Montgomery, Alabama 36105","Hyundai Tucson, Hyundai Santa Fe, Hyundai Santa Cruz, Genesis GV70 (ICE & EV)",32.27985254595,-86.330186746237
Hyundai Motor Company,Hyundai Motor Group Metaplant America,"71500 Genesis Dr. Ellabell, Georgia 31308","Hyundai Ioniq 5, Hyundai Ioniq 9",32.168546188244,-81.44693095583
Kia,Kia Motors Manufacturing Georgia,"7777 Kia Pkwy, West Point, Georgia 31833","Kia EV6, Kia Sportage, Kia Sorento, Kia Telluride, Kia EV9",32.917519785891,-85.12011720106
Volkswagen Group,Volkswagen Chattanooga Assembly Plant,"8001 Volkswagen Dr. Chattanooga, Tennessee 37416","Volkswagen Atlas, Volkswagen Atlas Cross Sport, Volkswagen ID.4",35.080045063552,-85.132663820465993
Volkswagen Group,Scout Production Center (2026),"Blythewood, South Carolina","Scout Traveler, Scout Terra",34.215166,-80.973608
Volvo Cars,Volvo Cars USA LLC,"3290 Volvo Car Dr. Ridgeville, South Carolina 29472","Volvo EX90, Polestar 3",33.154184715378,-80.244413402171
VinFast,VinFast USA,"Chatham County, North Carolina (2028)",TBA,35.702701353432,-79.255390400413
BMW,"BMW US Manufacturing Company, LLC","1400 Hwy 101 S. Greer, South Carolina 29651","BMW X3, BMW X4, BMW X5, BMW X6, BMW X7",34.899420917453,-82.17187353511
Mercedes-Benz Group,"Mercedes-Benz U.S. International, Inc.","1 Mercedes Dr. Vance, Alabama 35490","Mercedes-Benz GLE-Class, Mercedes-Benz GLS-Class, Mercedes-Benz EQS SUV",33.185059993148,-87.260800035326
Mercedes-Benz Group,"Mercedes-Benz Vans, LLC.","8501 Palmetto Commerce Pkwy, Ladson, South Carolina 29456",Mercedes-Benz Sprinter,32.964729011508,-80.10700199758
Hino Motors,"Hino Motors Manufacturing U.S.A., Inc.","1 Hino Way Williamstown, West Virginia 26187","Class 6 & 7 Medium Duty Trucks (GVWR: 16,001 - 33,000 lbs.), Specialized Trucks",39.393261000231,-81.46934172207
