"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","06000187",NA,"Cahaba Homestead Village Historic District","Alabama","Jefferson","Trussville","Approx. bet I-59 and AL 11","Listed","Single",FALSE,208,"Community Planning And Development; Social History; Education; Politics/Government","District","https://catalog.archives.gov/id/77836478",FALSE,FALSE,FALSE,TRUE,FALSE,2006-03-29,NA,"Cahaba Project; The Project",NA,"06000187","Cahaba Homestead Village","Cahaba Homestead Village Historic District, Jefferson, Alabama",33.62927,-86.60789
"2","07001027",NA,"Center Street Historic District","Alabama","Jefferson","Birmingham","940-1145 Center St.;2-9th Ct. W; 4-10th Ave. N; 2-4 10th Ct. N; 16-24 11th Ave. N; 1-2 11th Ct. N.","Listed","Multiple",FALSE,8.5,"Black","District","https://catalog.archives.gov/id/77835255",FALSE,FALSE,FALSE,TRUE,FALSE,2007-10-01,NA,"Dynamite Hill",NA,"07001027","Center Street","Center Street Historic District, Jefferson, Alabama",33.52154,-86.83614
"3","87000940",NA,"Chestnut Hill Historic District","Alabama","Jefferson","Birmingham","Roughly bounded by Highland Ave. and Thirty-first St.","Listed","Single",FALSE,34,"Community Planning And Development; Landscape Architecture; Architecture","District","https://catalog.archives.gov/id/77836402",FALSE,FALSE,FALSE,TRUE,FALSE,1987-06-12,NA,NA,NA,"87000940","Chestnut Hill","Chestnut Hill Historic District, Jefferson, Alabama",33.51038,-86.78027
"4","03001133",NA,"Country Club Historic District","Alabama","Jefferson","Birmingham","Roughly bounded by Highland Ave, 33rd St., 34th St., Pawnee Ave., and 29th St.","Listed","Single",FALSE,446,"Architecture; Community Planning And Development","District","https://catalog.archives.gov/id/77836384",FALSE,FALSE,FALSE,TRUE,FALSE,2003-11-17,NA,NA,NA,"03001133","Country Club","Country Club Historic District, Jefferson, Alabama",33.50742,-86.7785
"5","86001890",NA,"Cullom Street-Twelfth Street South Historic District","Alabama","Jefferson","Birmingham","Roughly bounded by Eleventh Ave., Twelfth St. S, Cullom St., and Thirteenth St. S","Listed","Single",FALSE,11,"Community Planning And Development; Architecture","District","https://catalog.archives.gov/id/77836394",FALSE,FALSE,FALSE,TRUE,FALSE,1986-08-21,NA,NA,NA,"86001890","Cullom Street-Twelfth Street South","Cullom Street-Twelfth Street South Historic District, Jefferson, Alabama",33.49372,-86.80749
"6","92000852",NA,"Downtown Bessemer Historic District","Alabama","Jefferson","Bessemer","Roughly bounded by 21st St. N., Carolina Ave., 19th St. N., 5th Ave. N. and the Southern RR tracks","Listed","Single",FALSE,26,"Commerce; Architecture","District","https://catalog.archives.gov/id/77836448",FALSE,FALSE,FALSE,TRUE,FALSE,1992-07-15,NA,"See Also:Southern Railway Terminal Station",NA,"92000852","Downtown Bessemer","Downtown Bessemer Historic District, Jefferson, Alabama",33.40225,-86.95157
"7","82002039",NA,"Downtown Birmingham Historic District","Alabama","Jefferson","Birmingham","Roughly bounded by 3rd Ave., 24th St., 1rst Ave., and 20th St.","Listed","Single",FALSE,8.4,"Commerce; Architecture","District","https://catalog.archives.gov/id/77836332",FALSE,FALSE,TRUE,FALSE,FALSE,1982-02-11,NA,"See Also:Downtown Birmingham Historic District (Boundary Inc",NA,"82002039","Downtown Birmingham","Downtown Birmingham Historic District, Jefferson, Alabama",33.51677,-86.8036
"8","98000105",NA,"Downtown Birmingham Historic District (Boundary Increase Ii)","Alabama","Jefferson","Birmingham","Roughly along 23rd St. and 3rd Ave., bounded by 5th Ave., 22nd St., and 2nd Ave.","Listed","Single",FALSE,13,"Commerce; Architecture","District","https://catalog.archives.gov/id/77836446",FALSE,FALSE,FALSE,TRUE,FALSE,1998-02-20,NA,NA,NA,"98000105","Downtown Birmingham (Boundary Increase Ii)","Downtown Birmingham Historic District (Boundary Increase Ii), Jefferson, Alabama",33.51677,-86.8036
"9","14001001",NA,"Downtown Birmingham Historic District (Boundary Increase Iii)","Alabama","Jefferson","Birmingham","Portions of 1st, 2nd, 3rd, 4th , 5th, 20th, 22nd, 23rd, 24th & 25th Sts., N., Richard Arrington Jr. Blvd.","Listed","Single",FALSE,25.2,"Commerce; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2016-07-12,NA,NA,NA,"14001001","Downtown Birmingham (Boundary Increase Iii)","Downtown Birmingham Historic District (Boundary Increase Iii), Jefferson, Alabama",33.51677,-86.8036
"10","85000305",NA,"Downtown Birmingham Historic District (Boundary Increase)","Alabama","Jefferson","Birmingham","312--322 21rst St. N and 1923 3rd. Ave.","Listed","Single",FALSE,0.3,"Commerce; Architecture","District","https://catalog.archives.gov/id/77836352",FALSE,FALSE,TRUE,FALSE,FALSE,1985-02-21,NA,"See Also:Downtown Birmingham Historic District",NA,"85000305","Downtown Birmingham (Boundary Increase)","Downtown Birmingham Historic District (Boundary Increase), Jefferson, Alabama",33.51677,-86.8036
"11","89000315",NA,"Downtown Birmingham Retail And Theatre Historic District","Alabama","Jefferson","Birmingham","Roughly bounded by 3rd Ave. North, 20th St. North, Morris Ave., and 17th St. North","Listed","Single",FALSE,39,"Commerce; Architecture; Entertainment/Recreation","District","https://catalog.archives.gov/id/77836464",FALSE,FALSE,FALSE,TRUE,FALSE,1989-05-05,NA,"See Also:79000386;81000126;85000918;85002718;83002971",NA,"89000315","Downtown Birmingham Retail And Theatre","Downtown Birmingham Retail And Theatre Historic District, Jefferson, Alabama",33.51427,-86.80832
"12","98000709",NA,"Downtown Birmingham Retail And Theatre Historic District (Boundary Increase)","Alabama","Jefferson","Birmingham","1914, 1917, 1919, 1930 4th Ave.,N.","Listed","Single",FALSE,1.5,"Architecture","District","https://catalog.archives.gov/id/77836466",FALSE,FALSE,FALSE,TRUE,FALSE,1998-06-26,NA,"See Also: Downtown Birmingham Retail and Theatre historic Di",NA,"98000709","Downtown Birmingham Retail And Theatre (Boundary Increase)","Downtown Birmingham Retail And Theatre Historic District (Boundary Increase), Jefferson, Alabama",33.51427,-86.80832
"13","09000604",NA,"Downtown Ensley Historic District","Alabama","Jefferson","Birmingham","17th-21st Sts. Ensley & Avenues C-H","Listed","Single",FALSE,64.4,"Commerce; Architecture","District","https://catalog.archives.gov/id/77836458",FALSE,FALSE,FALSE,TRUE,FALSE,2010-07-26,NA,NA,NA,"09000604","Downtown Ensley","Downtown Ensley Historic District, Jefferson, Alabama",33.51462,-86.89726
"14","83002973","AD","Five Points South Historic District","Alabama","Jefferson","Birmingham","Roughly bounded by 10th and 15th Aves., 19th and 21st Sts.","Listed","Add.doc.",FALSE,33,"Commerce; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1983-03-16,NA,"See Also:86001984;91000593",NA,"83002973","Five Points South","Five Points South Historic District, Jefferson, Alabama",33.49955,-86.79582
