"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","83001202",NA,"Prospect Historic District","California","Los Angeles","Pasadena","Prospect Blvd., Square, Crescent, and Terrace, Rosemont Ave., Armada and Fremont Drs., and La Mesa Pl.","Listed","Single",FALSE,68.9,"Landscape Architecture; Architecture","District","https://catalog.archives.gov/id/123859432",FALSE,FALSE,FALSE,TRUE,FALSE,1983-04-07,NA,NA,NA,"83001202","Prospect","Prospect Historic District, Los Angeles, California",34.15834,-118.17813
"2","11000500",NA,"Raymond-Summit Historic District","California","Los Angeles","Pasadena","Roughly bounded by N. Raymond Ave., E. Villa St., Summit Ave. & E. Maple St.,","Listed","Multiple",FALSE,4.6,"Architecture; Exploration/Settlement","District","https://catalog.archives.gov/id/123857590",FALSE,FALSE,FALSE,TRUE,FALSE,2011-08-09,NA,NA,NA,"11000500","Raymond-Summit","Raymond-Summit Historic District, Los Angeles, California",34.05696,-118.24007
"3","88000970",NA,"Redondo Beach Original Townsite Historic District","California","Los Angeles","Redondo Beach","N. Gertruda Ave., Carnelian St., N. Guadalupe Ave. and Diamond St.","Listed","Single",FALSE,3.4,"Exploration/Settlement; Architecture","District","https://catalog.archives.gov/id/123859447",FALSE,FALSE,FALSE,TRUE,FALSE,1988-06-30,NA,NA,NA,"88000970","Redondo Beach Original Townsite","Redondo Beach Original Townsite Historic District, Los Angeles, California",33.84724,-118.38619
"4","100009647","SG","Ridgewood Place Historic District","California","Los Angeles","Los Angeles","both sides North Ridgewood Place, from Beverly Boulevard to 1st Street","Listed","Single",FALSE,6.7,"Community Planning And Development; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2023-12-26,NA,NA,NA,"100009647","Ridgewood Place","Ridgewood Place Historic District, Los Angeles, California",34.03168,-118.29702
"5","16000355",NA,"Rockhaven Sanitarium Historic District","California","Los Angeles","Glendale","2713 Honolulu Ave. bounded by Pleasure Way, Hermosa & Honolulu Aves.","Listed","Single",FALSE,3.4,"Social History","District",NA,FALSE,FALSE,TRUE,FALSE,FALSE,2016-06-09,NA,NA,NA,"16000355","Rockhaven Sanitarium","Rockhaven Sanitarium Historic District, Los Angeles, California",34.05696,-118.24007
"6","13000810",NA,"Rubel Castle Historic District","California","Los Angeles","Glendora","844 N. Live Oak Ave.","Listed","Single",FALSE,1.7,"Agriculture; Architecture; Art","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2013-10-07,NA,"Rubella, Rubel Pharms",NA,"13000810","Rubel Castle","Rubel Castle Historic District, Los Angeles, California",34.05696,-118.24007
"7","87002401",NA,"South Bonnie Brae Tract Historic District","California","Los Angeles","Los Angeles","1026--1053 S. Bonnie Brae St. and 1830--1851 W. Eleventh St.","Listed","Single",FALSE,3.2,"Architecture","District","https://catalog.archives.gov/id/123859520",FALSE,FALSE,FALSE,TRUE,FALSE,1988-01-14,NA,NA,NA,"87002401","South Bonnie Brae Tract","South Bonnie Brae Tract Historic District, Los Angeles, California",34.04918,-118.27841
"8","82002199",NA,"South Marengo Historic District","California","Los Angeles","Pasadena","S. Marengo Ave.","Listed","Single",FALSE,3,"Architecture","District","https://catalog.archives.gov/id/123859522",FALSE,FALSE,FALSE,TRUE,FALSE,1982-06-02,NA,"See Also:House at 530 Marengo Ave",NA,"82002199","South Marengo","South Marengo Historic District, Los Angeles, California",34.089536185114,-118.142027905306
"9","82002202",NA,"South Pasadena Historic District","California","Los Angeles","South Pasadena","Roughly bounded by Mission and El Centro Sts., and Fairview and Meridian Aves.","Listed","Single",FALSE,11,"Commerce","District","https://catalog.archives.gov/id/123859524",FALSE,FALSE,FALSE,TRUE,FALSE,1982-07-21,NA,NA,NA,"82002202","South Pasadena","South Pasadena Historic District, Los Angeles, California",34.11529,-118.15618
"10","87002407",NA,"South Serrano Avenue Historic District","California","Los Angeles","Los Angeles","400 blk. of S. Serrano Ave.","Listed","Single",FALSE,5.2,"Exploration/Settlement; Architecture","District","https://catalog.archives.gov/id/123859526",FALSE,FALSE,FALSE,TRUE,FALSE,1988-01-28,NA,NA,NA,"87002407","South Serrano Avenue","South Serrano Avenue Historic District, Los Angeles, California",34.06612,-118.30702
