"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","100008558","RS","Greene-Talbot-Talley Halls Historic District","Arkansas","Columbia","Magnolia","South of North Washington and East Lane Dr. intersection","Listed","Resubmission",FALSE,3.75,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2023-03-13,NA,"CO0558; CO0559; CO0560; CO0561",NA,"100008558","Greene-Talbot-Talley Halls","Greene-Talbot-Talley Halls Historic District, Columbia, Arkansas",33.162409,-93.073938
"2","13001103",NA,"Magnolia Colored School Historic District","Arkansas","Columbia","Magnolia","611 S. Madison","Listed","Single",FALSE,2.5,"Education; Black","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2014-01-22,NA,"Youngblood Christian Center; Site # CO0515-CO0518; Columbia County High School; Columbia High School",NA,"13001103","Magnolia Colored School","Magnolia Colored School Historic District, Columbia, Arkansas",33.272642,-93.232869
"3","08000435",NA,"Magnolia Commercial Historic District","Arkansas","Columbia","Magnolia","Roughly bounded by Madison Ave., Calhoun St., Jackson Ave.& Union St.","Listed","Single",FALSE,10,"Architecture; Commerce","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2008-05-20,NA,"CO0359-CO0362; CO0364-CO0378; CO0380; CO0388; CO0431-CO0500",NA,"08000435","Magnolia Commercial","Magnolia Commercial Historic District, Columbia, Arkansas",33.272642,-93.232869
"4","13000349",NA,"Moose Addition Neighborhood Historic District","Arkansas","Conway","Morrillton","Roughly bounded by W. Valley, S. Moose, Green, Brown & S. Division Sts.","Listed","Single",FALSE,7,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2013-09-13,NA,NA,NA,"13000349","Moose Addition Neighborhood","Moose Addition Neighborhood Historic District, Conway, Arkansas",35.0917981,-92.4367002
"5","15000258",NA,"Moose Addition Neighborhood Historic District (Boundary Increase)","Arkansas","Conway","Morrilton","Roughly bounded by S. St. Joseph, E. Green, S. Chestnut, E. Valley, S. Morrill & E. Church Sts.","Listed","Single",FALSE,26,"Community Planning And Development","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-05-26,NA,NA,NA,"15000258","Moose Addition Neighborhood (Boundary Increase)","Moose Addition Neighborhood Historic District (Boundary Increase), Conway, Arkansas",35.0917981,-92.4367002
"6","03000085","AD","Morrilton Commercial Historic District (Additional Documentation)","Arkansas","Conway","Morrilton","Roughly bounded by East Railroad Ave., East Broadway, North Division, and North Moose Sts..","Listed","Add.doc.",FALSE,130,"Community Planning And Development; Architecture; Exploration/Settlement","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2003-03-07,NA,NA,NA,"03000085","Morrilton Commercial (Additional Documentation)","Morrilton Commercial Historic District (Additional Documentation), Conway, Arkansas",35.15265,-92.743819
"7","92000514",NA,"Petit Jean State Park-Cedar Falls Trail Historic District","Arkansas","Conway","Winrock","Adjacent to main access rd., Petit Jean State Park","Listed","Multiple",FALSE,17,"Landscape Architecture; Entertainment/Recreation; Social History","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1992-05-28,NA,"CN0130",NA,"92000514","Petit Jean State Park-Cedar Falls Trail","Petit Jean State Park-Cedar Falls Trail Historic District, Conway, Arkansas",35.125409069952,-92.951716183016
"8","92000515",NA,"Petit Jean State Park-Lake Bailey-Roosevelt Lake Historic District","Arkansas","Conway","Winrock","E and N of AR 154, Petit Jean State Park","Listed","Multiple",FALSE,170,"Landscape Architecture; Entertainment/Recreation; Architecture; Social History","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1992-05-28,NA,"CN0135;See Also:Cedar Creek Bridge",NA,"92000515","Petit Jean State Park-Lake Bailey-Roosevelt Lake","Petit Jean State Park-Lake Bailey-Roosevelt Lake Historic District, Conway, Arkansas",35.0917981,-92.4367002
"9","15000259",NA,"West Church Street Historic District","Arkansas","Conway","Morrilton","Roughly bounded by S. Morrill, Valley, S. Cherokee & W. Church Sts.","Listed","Single",FALSE,18,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2015-05-26,NA,NA,NA,"15000259","West Church Street","West Church Street Historic District, Conway, Arkansas",35.422353256272,-92.708155423197
"10","100010315","SG","Arkansas State College Historic District","Arkansas","Craighead","Jonesboro","2405 Aggie Road","Listed","Single",FALSE,21.36,"Architecture; Education","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2024-05-16,NA,NA,NA,"100010315","Arkansas State College","Arkansas State College Historic District, Craighead, Arkansas",35.826201997808,-90.727821505094
