"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"1","86001084",NA,"Downtown Tuscaloosa Historic District","Alabama","Tuscaloosa","Tuscaloosa","Roughly bounded by Fourth St., Twenty-second Ave., Seventh St., and Greensboro Ave.","Listed","Single",FALSE,27,"Architecture; Commerce","District","https://catalog.archives.gov/id/77837464",FALSE,FALSE,FALSE,TRUE,FALSE,1986-05-15,NA,"See Also:Bama Theatre-City Hall Building;City National Bank;",NA,"86001084","Downtown Tuscaloosa","Downtown Tuscaloosa Historic District, Tuscaloosa, Alabama",33.20971,-87.56671
"2","96001029",NA,"Downtown Tuscaloosa Historic District (Boundary Increase Ii)","Alabama","Tuscaloosa","Tuscaloosa","2500--2508, 2501--2519, 2516, 2521 7th St. and 2525 S. Lurleen Wallace Blvd.","Listed","Single",FALSE,3.5,"Commerce; Architecture","District","https://catalog.archives.gov/id/77837458",FALSE,FALSE,FALSE,TRUE,FALSE,1997-01-23,NA,NA,NA,"96001029","Downtown Tuscaloosa (Boundary Increase Ii)","Downtown Tuscaloosa Historic District (Boundary Increase Ii), Tuscaloosa, Alabama",33.20971,-87.56671
"3","88003242",NA,"Downtown Tuscaloosa Historic District (Boundary Increase)","Alabama","Tuscaloosa","Tuscaloosa","Roughly bounded by University Blvd., 21st Ave., 6th St. and 22nd Ave.","Listed","Single",FALSE,4,"Architecture; Commerce","District","https://catalog.archives.gov/id/77837456",FALSE,FALSE,FALSE,TRUE,FALSE,1989-01-26,NA,"See Also:Downtown Tuscaloosa Historic District",NA,"88003242","Downtown Tuscaloosa (Boundary Increase)","Downtown Tuscaloosa Historic District (Boundary Increase), Tuscaloosa, Alabama",33.20971,-87.56671
"4","75000327",NA,"Druid City Historic District","Alabama","Tuscaloosa","Tuscaloosa","Roughly bounded by Queen City Pk., Sixteenth St., Fifteenth St., and Twenty-first Ave.","Listed","Single",FALSE,90,"Architecture; Commerce; Social History","District","https://catalog.archives.gov/id/77837480",FALSE,FALSE,FALSE,TRUE,FALSE,1975-02-24,NA,NA,NA,"75000327","Druid City","Druid City Historic District, Tuscaloosa, Alabama",33.20783,-87.56051
"5","01001170",NA,"Druid City Historic District (Boundary Increase)","Alabama","Tuscaloosa","Tuscaloosa","3,4,5,6,7,8,10,11 College Park, 711-721 Queen City Ave.","Listed","Single",FALSE,4,"Architecture","District","https://catalog.archives.gov/id/77837482",FALSE,FALSE,FALSE,TRUE,FALSE,2001-10-29,NA,NA,NA,"01001170","Druid City (Boundary Increase)","Druid City Historic District (Boundary Increase), Tuscaloosa, Alabama",33.20783,-87.56051
"6","04000234",NA,"East Northport Historic District","Alabama","Tuscaloosa","Northport","Roughly bounded by 20th St., 8th Ave., Rice Mine Rd., Bridge Ave.","Listed","Single",FALSE,400,"Architecture; Black","District","https://catalog.archives.gov/id/77837476",FALSE,FALSE,FALSE,TRUE,FALSE,2004-03-26,NA,NA,NA,"04000234","East Northport","East Northport Historic District, Tuscaloosa, Alabama",33.22466,-87.57237
"7","71000108",NA,"Gorgas-Manly Historic District","Alabama","Tuscaloosa","Tuscaloosa","On the University of Alabama campus","Listed","Single",FALSE,12,"Education; Architecture","District","https://catalog.archives.gov/id/77837472",FALSE,TRUE,FALSE,FALSE,FALSE,1971-07-14,NA,NA,NA,"71000108","Gorgas-Manly","Gorgas-Manly Historic District, Tuscaloosa, Alabama",33.2122478,-87.5458166
"8","80000736",NA,"Northport Historic District","Alabama","Tuscaloosa","Northport","25th, 26th, 28th and 30th Aves., Main, 5th, and 6th Sts.","Listed","Single",FALSE,78,"Commerce; Architecture","District","https://catalog.archives.gov/id/77837460",FALSE,FALSE,TRUE,FALSE,FALSE,1980-05-01,NA,NA,NA,"80000736","Northport","Northport Historic District, Tuscaloosa, Alabama",33.21904,-87.58034
"9","04000238",NA,"Northport Historic District (Boundary Increase)","Alabama","Tuscaloosa","Northport","Bounded by Bellwood Dr., 20th Ave., Black Warrior R, and 30th Ave.","Listed","Single",FALSE,450,"Architecture; Commerce","District","https://catalog.archives.gov/id/77837462",FALSE,FALSE,FALSE,TRUE,FALSE,2004-03-31,NA,NA,NA,"04000238","Northport (Boundary Increase)","Northport Historic District (Boundary Increase), Tuscaloosa, Alabama",33.21904,-87.58034
"10","86001229",NA,"Pinehurst Historic District","Alabama","Tuscaloosa","Tuscaloosa","215 and 305 Seventeenth Ave., 1--28 Pinehurst Dr., and 6--9 N. Pinehurst Dr.","Listed","Single",FALSE,12.5,"Community Planning And Development; Architecture","District","https://catalog.archives.gov/id/77837466",FALSE,FALSE,FALSE,TRUE,FALSE,1986-06-05,NA,NA,NA,"86001229","Pinehurst","Pinehurst Historic District, Tuscaloosa, Alabama",33.213,-87.55828
