Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID,Address,latitude,longitude
100009125,RS,Federation of Southern Cooperatives Rural Training and Research Center,ALABAMA,Sumter,Epes,575 Federation Rd.,Listed,Resubmission,FALSE,70,AGRICULTURE; ETHNIC HERITAGE-BLACK; SOCIAL HISTORY,district,NA,FALSE,FALSE,FALSE,TRUE,FALSE,10/3/23,NA,The Training Center; RTRC,NA,100009125,"575 Federation Rd., Epes, ALABAMA",32.752374452443,-88.124553130259
84000746,NA,Bama Theatre-City Hall Building,ALABAMA,Tuscaloosa,Tuscaloosa,600 Greensboro Ave.,Listed,Single,FALSE,0.9,POLITICS/GOVERNMENT; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77837489,FALSE,FALSE,FALSE,TRUE,FALSE,8/30/84,NA,Bama Theatre and Office Building,NA,84000746,"600 Greensboro Ave., Tuscaloosa, ALABAMA",33.208439803314,-87.568168364264
05000457,NA,"Foster Auditorium, The University of Alabama",ALABAMA,Tuscaloosa,Tuscaloosa,Sixth Avenue,Listed,Single,FALSE,NA,NA,BUILDING,https://catalog.archives.gov/id/77835694,FALSE,TRUE,FALSE,FALSE,FALSE,4/5/05,4/5/05,NA,NA,05000457,"Sixth Avenue, Tuscaloosa, ALABAMA",33.175843482919,-87.543737966355
87000841,NA,Adak Army Base and Adak Naval Operating Station,ALASKA,Aleutian Islands,Adak Station,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay",Listed,Single,FALSE,46700,MILITARY,DISTRICT,https://catalog.archives.gov/id/75325287,FALSE,TRUE,FALSE,FALSE,FALSE,2/27/87,2/27/87,Adak Naval Station (Naval Air Station Adak),NA,87000841,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay, Adak Station, ALASKA",51.873021,-176.660875
85002733,NA,"Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army",ALASKA,Aleutian Islands,Unalaska,Amaknak Island,Listed,Single,FALSE,1000,MILITARY,DISTRICT,https://catalog.archives.gov/id/75325285,FALSE,TRUE,FALSE,FALSE,FALSE,2/4/85,2/4/85,NA,NA,85002733,"Amaknak Island, Unalaska, ALASKA",53.91091,-166.53042
82001620,NA,Fourth Avenue Theatre (AHRS Site No. ANC-284),ALASKA,Anchorage,Anchorage,630 W. 4th Ave.,Listed,Single,FALSE,0.3,ART; ENTERTAINMENT/RECREATION; ARCHITECTURE; COMMUNICATIONS,BUILDING,https://catalog.archives.gov/id/75325368,FALSE,TRUE,FALSE,FALSE,FALSE,10/5/82,NA,The Lathrop Building;Lathrop's Showhouse,NA,82001620,"630 W. 4th Ave., Anchorage, ALASKA",61.218266012714,-149.894533040884
90000878,NA,Lacey Street Theatre,ALASKA,Fairbanks North Star,Fairbanks,504 Second Ave.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75325450,FALSE,FALSE,FALSE,TRUE,FALSE,6/14/90,NA,AHRS Site No. FAI-207,NA,90000878,"504 Second Ave., Fairbanks, ALASKA",64.843670392802,-147.717877508941
85002731,NA,Kodiak Naval Operating Base and Forts Greely and Abercrombie,ALASKA,Kodiak Island,Kodiak,Address unknown,Listed,Single,FALSE,350,MILITARY,SITE,https://catalog.archives.gov/id/75325308,FALSE,TRUE,FALSE,FALSE,FALSE,2/4/85,2/4/85,US Coast Guard Support Center and Fort Abercrombie State His,NA,85002731,"Address unknown, Kodiak, ALASKA",57.789894,-152.407034
86003559,NA,Sitka Naval Operating Base and US Army Coastal Defenses,ALASKA,Sitka,Sitka,Japonski Island,Listed,Single,FALSE,510,MILITARY,DISTRICT,https://catalog.archives.gov/id/75325333,FALSE,TRUE,FALSE,FALSE,FALSE,8/11/86,8/11/86,Sitka;the Causeway;Mt. Edgecumbe School,NA,86003559,"Japonski Island, Sitka, ALASKA",57.05049,-135.36115
10000888,NA,Governor H. Rex Lee Auditorium,AMERICAN SAMOA,Western,Utulei,"Rte. 1, William McKinley Memorial HWY",Listed,Single,FALSE,1.7,PACIFIC-ISLANDER; POLITICS/GOVERNMENT; PERFORMING ARTS; ARCHITECTURE; SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/131517763,FALSE,FALSE,TRUE,FALSE,FALSE,11/12/10,NA,Fale Laumei,NA,10000888,"Rte. 1, William McKinley Memorial HWY, Utulei, AMERICAN SAMOA",-14.2810603,-170.6824104
76000372,NA,Grand Theatre,ARIZONA,Cochise,Douglas,1139--1149 G. Ave.,Listed,Single,FALSE,0.1,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75609652,FALSE,FALSE,TRUE,FALSE,FALSE,7/30/76,NA,NA,NA,76000372,"1139--1149 G. Ave., Douglas, ARIZONA",31.346331029826,-109.554163836666
87001412,NA,Grand Canyon Park Operations Building,ARIZONA,Coconino,Grand Canyon National Park,Off West Rim Dr.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75609513,FALSE,TRUE,FALSE,FALSE,FALSE,5/28/87,5/28/87,Grand Canyon Ranger Office;See Also:Grand Canyon Village His,Grand Canyon,87001412,"Off West Rim Dr., Grand Canyon National Park, ARIZONA",36.0356574,-111.8305601
100003323,SG,Celebrity Theatre,ARIZONA,Maricopa,Phoenix,440 N 32nd St.,Listed,Single,FALSE,7,ENGINEERING,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1/24/19,NA,HiwayHouse Convention Center; Phoenix Star Theatre,NA,100003323,"440 N 32nd St., Phoenix, ARIZONA",33.454441369257,-112.014761870734
89000168,NA,El Zaribah Shrine Auditorium,ARIZONA,Maricopa,Phoenix,1502 W. Washington St.,Listed,Single,FALSE,0.8,ARCHITECTURE; SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/75610081,FALSE,FALSE,TRUE,FALSE,FALSE,3/9/89,NA,NA,NA,89000168,"1502 W. Washington St., Phoenix, ARIZONA",33.448536779475,-112.091633142946
