Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID,Address,latitude,longitude,state,LHAT_member
03000909,NA,Rialto Theatre,ARIZONA,Pima,Tucson,318 E. Congress St.,Listed,Multiple,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75608946,FALSE,FALSE,FALSE,TRUE,FALSE,9/12/03,NA,NA,NA,03000909,"318 E. Congress St., Tucson, ARIZONA",32.221936528674,-110.966426427926,AZ,FALSE
99001067,NA,Paramount Theatre,ARIZONA,Pinal,Casa Grande,420 N. Florence St.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/75610604,FALSE,FALSE,FALSE,TRUE,FALSE,9/3/99,NA,Casa Grande 1982 Inventory No. CG-150,NA,99001067,"420 N. Florence St., Casa Grande, ARIZONA",32.878259663879,-111.75251156639,AZ,FALSE
78003226,NA,Elks Building and Theater,ARIZONA,Yavapai,Prescott,117 E. Gurley,Listed,Multiple,FALSE,0,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75609263,FALSE,FALSE,FALSE,TRUE,FALSE,12/14/78,NA,NA,NA,78003226,"117 E. Gurley, Prescott, ARIZONA",34.541533391244,-112.467842126483,AZ,FALSE
82001636,NA,Gandolfo Theater,ARIZONA,Yuma,Yuma,200 S. 1st Ave.,Listed,Multiple,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/75609489,FALSE,TRUE,FALSE,FALSE,FALSE,12/7/82,NA,NA,NA,82001636,"200 S. 1st Ave., Yuma, ARIZONA",32.723983988503,-114.621283977582,AZ,FALSE
05000488,NA,Greek Amphitheatre,ARKANSAS,Columbia,Magnolia,"Jct. East Lane Dr., E. University St. & Crescent Dr.",Listed,Single,FALSE,0.9,ARCHITECTURE; POLITICS/GOVERNMENT; PERFORMING ARTS,STRUCTURE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,6/1/05,NA,CO0250,NA,05000488,"Jct. East Lane Dr., E. University St. & Crescent Dr., Magnolia, ARKANSAS",33.288817115796,-93.23367764003,AR,FALSE
09001246,NA,Malco Theatre,ARKANSAS,Garland,Hot Springs,817 Central Ave.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1/21/10,NA,Hot Springs Documentary Film Institute; Site #GA0732,NA,09001246,"817 Central Ave., Hot Springs, ARKANSAS",34.508724903925,-93.054035228237,AR,FALSE
04000507,NA,Community Theatre,ARKANSAS,Jefferson,Pine Bluff,207 w. 2nd Ave.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,5/26/04,NA,Breckinridge Building; JE0585,NA,04000507,"207 w. 2nd Ave., Pine Bluff, ARKANSAS",34.228594784731,-92.004664788025,AR,FALSE
95000348,NA,Saenger Theater,ARKANSAS,Jefferson,Pine Bluff,"Jct. of W. Second Ave. and Pine St., SE corner",Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,3/23/95,NA,JE0550,NA,95000348,"Jct. of W. Second Ave. and Pine St., SE corner, Pine Bluff, ARKANSAS",34.228345004017,-92.004380976783,AR,FALSE
03000955,NA,Royal Theatre,ARKANSAS,Saline,Benton,111 S. Market St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/27/03,NA,SA0129,NA,03000955,"111 S. Market St., Benton, ARKANSAS",34.563106272632,-92.588518910384,AR,FALSE
99001351,NA,New Theatre,ARKANSAS,Sebastian,Fort Smith,9 N. 10th St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,11/18/99,NA,SB0015,NA,99001351,"9 N. 10th St., Fort Smith, ARKANSAS",35.385285185364,-94.421386744092,AR,FALSE
86001888,NA,Rialto Theatre,ARKANSAS,Union,El Dorado,117 E. Cedar St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,TRUE,FALSE,FALSE,8/21/86,NA,NA,NA,86001888,"117 E. Cedar St., El Dorado, ARKANSAS",33.211076503374,-92.663559190075,AR,FALSE
92001101,NA,"Chi Omega Greek Theatre-University of Arkansas, Fayetteville",ARKANSAS,Washington,Fayetteville,Dickson St.,Listed,Multiple,FALSE,0.9,EDUCATION; ARCHITECTURE,STRUCTURE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/4/92,NA,WA0348,NA,92001101,"Dickson St., Fayetteville, ARKANSAS",36.148489488651,-94.141851498857,AR,FALSE
91001265,NA,Beebe Theater,ARKANSAS,White,Beebe,Center St.,Listed,Multiple,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/5/91,NA,Resource #WH1357,NA,91001265,"Center St., Beebe, ARKANSAS",35.076949504031,-91.871017747571,AR,FALSE
91001231,NA,Rialto Theater,ARKANSAS,White,Searcy,Jct. of Race and Spring Sts.,Listed,Multiple,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/13/91,NA,Resource #WH2018,NA,91001231,"Jct. of Race and Spring Sts., Searcy, ARKANSAS",35.250792980777,-91.737665967894,AR,FALSE
79000468,NA,Fox-Oakland Theater,CALIFORNIA,Alameda,Oakland,1807--1829 Telegraph Ave.,Listed,Single,FALSE,1.2,COMMERCE; ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123858224,FALSE,FALSE,FALSE,TRUE,FALSE,2/2/79,NA,Fox-Oakland Theater &amp; Complex,NA,79000468,"1807--1829 Telegraph Ave., Oakland, CALIFORNIA",37.808071364559,-122.270559278443,CA,FALSE
82004644,NA,Hearst Greek Theatre,CALIFORNIA,Alameda,Berkeley,Oxford St.,Listed,Multiple,FALSE,2,LANDSCAPE ARCHITECTURE; ARCHITECTURE,SITE,https://catalog.archives.gov/id/123857326,FALSE,TRUE,FALSE,FALSE,FALSE,3/25/82,NA,NA,NA,82004644,"Oxford St., Berkeley, CALIFORNIA",37.890338375853,-122.268218967257,CA,FALSE
73000395,NA,Paramount Theatre,CALIFORNIA,Alameda,Oakland,2025 Broadway,Listed,Single,FALSE,0.9,ART; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858314,FALSE,TRUE,FALSE,FALSE,FALSE,8/14/73,5/5/77,NA,NA,73000395,"2025 Broadway, Oakland, CALIFORNIA",37.809834916987,-122.268611827059,CA,TRUE
91001383,NA,State Theatre,CALIFORNIA,Butte,Oroville,1489 Myers St.,Listed,Single,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858460,FALSE,FALSE,FALSE,TRUE,FALSE,9/13/91,NA,State Theater,NA,91001383,"1489 Myers St., Oroville, CALIFORNIA",39.512596209307,-121.554371082016,CA,TRUE
100000779,MP,Azteca Theater,CALIFORNIA,Fresno,Fresno,836-840 F St.,Listed,Multiple,FALSE,0.9,NA,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,3/27/17,NA,Teatro Azteca; Azteca Theatre,NA,100000779,"836-840 F St., Fresno, CALIFORNIA",36.729235014286,-119.793188804664,CA,FALSE
78000663,NA,"Pantages, Alexander, Theater",CALIFORNIA,Fresno,Fresno,1400 Fulton St.,Listed,Single,FALSE,0.9,ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123858679,FALSE,FALSE,FALSE,TRUE,FALSE,2/23/78,NA,Warnors Theatre,NA,78000663,"1400 Fulton St., Fresno, CALIFORNIA",36.738408713945,-119.794414406547,CA,FALSE
92001276,NA,Tower Theatre,CALIFORNIA,Fresno,Fresno,1201 N. Wishon Ave.,Listed,Single,FALSE,1.8,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858703,FALSE,FALSE,FALSE,TRUE,FALSE,9/24/92,NA,NA,NA,92001276,"1201 N. Wishon Ave., Fresno, CALIFORNIA",36.758006064574,-119.801288237703,CA,FALSE
09001199,NA,Eureka Theatre,CALIFORNIA,Humboldt,Eureka,612 F. St.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858742,FALSE,FALSE,FALSE,TRUE,FALSE,1/7/10,NA,NA,NA,09001199,"612 F. St., Eureka, CALIFORNIA",40.800700015761,-124.166200023222,CA,FALSE
09000372,NA,Sweasey Theater-Loew's State Theater,CALIFORNIA,Humboldt,Eureka,412 G St.,Listed,Single,FALSE,0.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123858800,FALSE,FALSE,FALSE,TRUE,FALSE,6/5/09,NA,State Theater; Arkley Center for the Performing Arts,NA,09000372,"412 G St., Eureka, CALIFORNIA",40.802587075533,-124.165329478758,CA,FALSE
96000102,NA,Alexander Theatre,CALIFORNIA,Los Angeles,Glendale,216 N. Brand Blvd.,Listed,Single,FALSE,0.5,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858911,FALSE,FALSE,FALSE,TRUE,FALSE,2/16/96,NA,Alex Theatre,NA,96000102,"216 N. Brand Blvd., Glendale, CALIFORNIA",34.148870689864,-118.254122686691,CA,FALSE
79000484,NA,Broadway Theater and Commercial District,CALIFORNIA,Los Angeles,Los Angeles,300--849 S. Broadway,Listed,Single,FALSE,28.1,COMMERCE; ARCHITECTURE,DISTRICT,https://catalog.archives.gov/id/123858983,FALSE,FALSE,TRUE,FALSE,FALSE,5/9/79,NA,NA,NA,79000484,"300--849 S. Broadway, Los Angeles, CALIFORNIA",34.042758980786,-118.256220677056,CA,FALSE
02000330,NA,Broadway Theatre and Commercial District (Boundary Increase),CALIFORNIA,Los Angeles,Los Angeles,"242, 248-260, 249-259, 900-911,908-910, 921-937, 930-947 S. Broadway",Listed,Single,FALSE,0.9,ARCHITECTURE; COMMERCE; ENTERTAINMENT/RECREATION,DISTRICT,https://catalog.archives.gov/id/123858985,FALSE,FALSE,FALSE,TRUE,FALSE,4/12/02,NA,NA,NA,02000330,"242, 248-260, 249-259, 900-911,908-910, 921-937, 930-947 S. Broadway, Los Angeles, CALIFORNIA",34.041428688933,-118.257229606741,CA,FALSE
12001163,NA,Fox Theatre Inglewood,CALIFORNIA,Los Angeles,Inglewood,115 N. Market St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123859121,FALSE,FALSE,FALSE,TRUE,FALSE,1/14/13,NA,NA,NA,12001163,"115 N. Market St., Inglewood, CALIFORNIA",33.963322469016,-118.352390694596,CA,FALSE
12000164,NA,Fox Wilshire Theatre,CALIFORNIA,Los Angeles,Beverly Hills,8440 Wilshire Blvd.,Listed,Single,FALSE,0.6,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123859123,FALSE,FALSE,FALSE,TRUE,FALSE,4/3/12,NA,Wilshire Theatre; Saban Theatre,NA,12000164,"8440 Wilshire Blvd., Beverly Hills, CALIFORNIA",34.064204876341,-118.374935164291,CA,FALSE
82002192,NA,Golden Gate Theater,CALIFORNIA,Los Angeles,Los Angeles,5170-5188 E. Whittier Blvd.,Listed,Single,FALSE,0.8,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123859156,FALSE,FALSE,FALSE,TRUE,FALSE,2/23/82,NA,Golden Gate Theater/Vega Building,NA,82002192,"5170-5188 E. Whittier Blvd., Los Angeles, CALIFORNIA",34.020251098098,-118.157539022228,CA,FALSE
09000149,NA,Lincoln Theater,CALIFORNIA,Los Angeles,Los Angeles,2300 S. Central Ave.,Listed,Multiple,FALSE,0.9,BLACK,BUILDING,https://catalog.archives.gov/id/123857536,FALSE,FALSE,FALSE,TRUE,FALSE,3/17/09,NA,NA,NA,09000149,"2300 S. Central Ave., Los Angeles, CALIFORNIA",34.020571580166,-118.253870642862,CA,FALSE
