"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"Terry 1818-WD","Standard Solar","Wasco","California","solar",4.6,-119.328794,35.607804
"Kern Sunset 1886-WD","Standard Solar","Bakersfield","California","solar",2.4,-118.908889,35.220668
"DG Harlem Solar","DG Harlem, LLC","Freeport","Illinois","solar",2,-89.413358,42.172941
"Plote Somonauk","Solar DG IL 2, LLC","Somonauk","Illinois","solar",2,-88.682,41.674
"Slocum Energy Storage","DTE Electric Company","Trenton","Michigan","batteries",14,-83.18739,42.123049
"All World Solar Facility","All World Machinery Supply, Inc.","Roscoe","Illinois","solar",1.5,-88.998785,42.461976
"Stampede Solar Hybrid","Stampede Solar Project LLC","Saltillo","Texas","batteries",72.2,-95.319229,33.201315
"Yellowstone County Generating Station","NorthWestern Energy (MT wind/thermal)","Laurel","Montana","natural gas",165.6,-108.760833,45.65992
"Valley Sun Solar","Valley Sun Solar LLC","Grand Isle","Maine","solar",3.1,-68.164,47.31
"Hickory Solar","Hickory Solar LLC","Jerseyville","Illinois","solar",110,-90.366017,39.133126
"Abel Solar","SoCore Energy LLC","Morrison","Illinois","solar",2,-90.032,41.793
"ABIA Parking Structure","SoCore Energy LLC","Austin","Texas","solar",1.8,-97.6686,30.2047
"Bunker Hill Solar","SoCore Energy LLC","Lyndon","Illinois","solar",2,-89.864,41.773
"Open Sky Ranch Inc","Bravo REC Management LLC","Riverdale","California","solar",1.7,-120.030549,36.46052
"City of Atwater NEM","SoCore Energy LLC","Atwater","California","solar",1.5,-120.629,37.274
"DPC Madison","SoCore Energy LLC","Ridgeway","Iowa","solar",1.5,-91.939254,43.274528
"DPC York","SoCore Energy LLC","Thomson","Illinois","solar",1.5,-90.110768,41.993718
"Brittlebush Solar","Randolph Solar Park LLC","Coolidge","Arizona","solar",200,-111.490475,32.925808
"FedEx Hagerstown","SoCore Energy LLC","Hagerstown","Maryland","solar",1.8,-77.7923,39.6385
"French Road Solar","SoCore Energy LLC","Ashland","Maine","solar",2.5,-68.393,46.637
"GRE Cambridge Solar","SoCore Energy LLC","Cambridge","Minnesota","solar",2,-93.1826,45.5885
"Harmony Solar Project","SoCore Energy LLC","Lena","Illinois","solar",2,-89.78,42.366
"Illinois PV Knox 1B","SoCore Energy LLC","Yates City","Illinois","solar",2,-90.008,40.766
"Macomb 2A","SoCore Energy LLC","Macomb","Illinois","solar",2,-90.688,40.454
"Madawaska Solar","SoCore Energy LLC","Saint David","Maine","solar",4,-68.239,47.343
"NJ Airport Solar Project A","SoCore Energy LLC","Newark","New Jersey","solar",1,-74.191,40.684
"NJ Airport Solar Project B","SoCore Energy LLC","Newark","New Jersey","solar",1,-74.191,40.684
"NJ Airport Solar Project C","SoCore Energy LLC","Newark","New Jersey","solar",1,-74.191,40.684
"NJ Airport Solar Project D","SoCore Energy LLC","Newark","New Jersey","solar",1,-74.191,40.684
"Rockford Plant","SoCore Energy LLC","Rockford","Illinois","solar",2,-89.027,42.232
"Round Grove 1","SoCore Energy LLC","Lyndon","Illinois","solar",2,-89.864,41.759
"Round Grove 2","SoCore Energy LLC","Lyndon","Illinois","solar",2,-89.867,41.76
"Fond du Lac Community Solar","SoCore Energy LLC","Fond Du Lac","Wisconsin","solar",1,-88.473,43.734
"Illinois PV Knox 1A","SoCore Energy LLC","Yates City","Illinois","solar",2,-90.008,40.769
"Dixie Creek Dairy Solar","Bravo REC Management LLC","Hanford","California","solar",2.9,-119.500218,36.29907
"TJX Tucson","SoCore Energy LLC","Tucson","Arizona","solar",1,-110.913919,32.125
"Unity Solar Project (IL)","SoCore Energy LLC","Lena","Illinois","solar",2,-89.78,42.369
"TJX Phoenix","SoCore Energy LLC","Phoenix","Arizona","solar",2.9,-112.178067,33.418481
"TJX Las Vegas","SoCore Energy LLC","North Las Vegas","Nevada","solar",1,-115.0816,36.251
"Caribou Solar","SoCore Energy LLC","Caribou","Maine","solar",5,-67.992128,46.819577
"TJX 2021 DG El Paso DC","SoCore Energy LLC","El Paso","Texas","solar",1.5,-106.337786,31.807733
"Jericho Gravel Solar Farm","SoCore Energy LLC","Jerico","Vermont","solar",2,-72.96,44.479
"Jericho Landfill Solar Farm","SoCore Energy LLC","Jerico","Vermont","solar",2,-72.977405,44.448462
"Yorktown 1 Solar","SoCore Energy LLC","Lyndon","Illinois","solar",2,-89.862,41.768
"Yorktown 2 Solar","SoCore Energy LLC","Lyndon","Illinois","solar",2,-89.859,41.768
"Costa View Farms","127 CVF, LLC","Madera","California","solar",5,-120.308,36.99
"ME Fort Fairfield Solar Plant","ME Fort Fairfield LLC","Presque Isle","Maine","solar",2.8,-67.969496,46.694517
"Farmersville West","SBESS TX7 LLC","Farmersville","Texas","batteries",9.9,-96.402,33.158
"Rivanna Solar","Rivanna Solar LLC","Charlottesville","Virginia","solar",12.5,-78.4,37.966
"BT Signal Ranch","BT Signal Ranch, LLC","Quinlan","Texas","solar",50,-96.085998,32.986
"Montague Energy Storage","VESI 34 LLC","Montague","New Jersey","batteries",20,-74.79835,41.2785
"Hardy Hills Solar Energy LLC","Hardy Hills Solar LLC","Frankfort","Indiana","solar",195,-86.501969,40.342819
"Delta Electronics Fremont","Delta Electronics (Americas) Ltd","Fremont","California","solar",1,-121.949,37.48963
"Westwing","AES Clean Energy","Peoria","Arizona","batteries",82,-112.3242,33.7131
"NLMU Diesel","New London Municipal Utilities","New London","Iowa","petroleum",8,-91.390226,40.929204
"GFTX BESS","Giga Texas Energy LLC","Austin","Texas","batteries",125,-97.618833,30.228276
"Connolly BESS","BT Connolly Storage, LLC","Decatur","Texas","batteries",125,-97.418986,33.210732
"TWC","Bravo REC Management LLC","Tulare","California","solar",1.2,-119.447658,36.122809
"McIntosh Solar","Georgia Power Co","Rincon","Georgia","solar",10,-81.171944,32.350833
"Ellington - 277 Sadds Mill","Onyx Asset Services Group","Ellington			","Connecticut","solar",2,-72.502729,41.936531
"Paso Robles - Municipal Airport","Onyx Asset Services Group","Paso Robles","California","solar",3,-120.635889,35.679378
"Harris Farms Solar Facility","Harris Farms Inc","Coalinga","California","solar",1.3,-120.229268,36.253184
"Sundial (Troutdale) BESS","Troutdale Grid, LLC","Troutdale","Oregon","batteries",200,-122.4201,45.559753
"Arthur Kill Energy, LLC","NineDot Holdings, LLC","Staten Island","New York","batteries",5,-74.211792,40.556252
"Empire Clean Energy, LLC","NineDot Holdings, LLC","Staten Island","New York","batteries",5,-74.214895,40.555339
"Gabby Giffords Clean Energy, LLC","NineDot Holdings, LLC","Staten Island","New York","batteries",8,-74.150883,40.552574
"Gunther","NineDot Holdings, LLC","Bronx","New York","batteries",3,-73.83598,40.86451
"Dunns Bridge II Solar","Dunns Bridge II Solar and Storage Generation LLC","San Pierre","Indiana","solar",491.3,-86.946479,41.222135
"PNY BESS LLC","Citizens Enterprises Corporation","Philadelphia","Pennsylvania","batteries",6.2,-75.18554,39.89023
"BWC Jimmie Pond","Navisun LLC","Hampden","Maine","solar",5,-68.844555,44.75093
"ISM Solar Shepherd Acres","Navisun LLC","South Paris","Maine","solar",4,-70.525902,44.283611
"Strix Solar","Madison Gas & Electric Co","Fitchburg","Wisconsin","solar",6,-89.39461,42.971615
"Richmond (NY)","Solar Planet Power","Honeoye","New York","solar",5,-77.526792,42.792865
"Sherco Solar I","Northern States Power Co - Minnesota","Clear Lake","Minnesota","solar",264.6,-93.936502,45.407183
"Timbermill Wind, LLC","Timbermill Wind","Edenton","North Carolina","wind",189,-76.60104,36.151863
"Catskill Solar","Catskill View Solar, LLC","Hudson","New York","solar",5,-73.748,42.27
"Claverack Creek Solar","Claverack Creek Solar, LLC","Hudson","New York","solar",5,-73.75,42.271
"Wonderful Orchards - West Valley","Wonderful Renewable Energy, LLC.","Blackwells Corner","California","solar",3,-119.972953,35.658203
"Crossett Solar","Cubico USA, LLC","Crossett","Arkansas","solar",100,-91.947912,33.096086
"Foote Creek Rim","PacifiCorp","McFadden","Wyoming","wind",134.8,-106.2013,41.6283
"Augusta Road Bowdoin Solar, LLC","REA Investments, LLC","Bowdoin","Maine","solar",3.8,-69.949613,44.012164
"Canton GLC Solar, LLC","REA Investments, LLC","Canton","Maine","solar",3,-70.320013,44.442985
