Post number,Subject,Body,Attachment link,Location,Latitude,Longitude,Post color,Created At (UTC),Updated At (UTC)
28,"393. Dean Foods Company, North Haskell Avenue, Dallas, TX, USA","",http://www.deanfoods.com/,"Dean Foods Company, North Haskell Avenue, Dallas, TX, USA",32.8055096,-96.79237940000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
29,"392. PPL, Allentown, PA, USA","",http://www.pplweb.com/,"PPL Walbert Training Center, Church Road, Allentown, PA, USA",40.6081366,-75.57044940000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
30,362. Yum China Holdings,"Plano, Texas, USA
",http://ir.yumchina.com/,"Plano, Texas, USA",33.01984309999999,-96.69888559999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
31,"391. Hershey, PA, USA","",http://www.thehersheycompany.com/,"Hershey, PA, USA",40.28592389999999,-76.65024679999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
32,"390. Alliance Data Systems, Plano, TX, USA","",http://www.alliancedata.com/,"Plano, TX, USA",33.01984309999999,-96.69888559999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
33,"389. Berry Global, Oakley Street, Evansville, IN, USA","",http://www.berryglobal.com/,"Berry Global, Oakley Street, Evansville, IN, USA",37.9789909,-87.57264350000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
34,361. Fidelity National Information Services,"Jacksonville, FL, USA
",http://www.fisglobal.com/,"Jacksonville, FL, USA",30.3321838,-81.65565099999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
35,"388. Tractor Supply Company  Brentwood, TN, USA","",http://www.zimmerbiomet.com/,"Tractor Supply Company - Store Support Center, Virginia Way, Brentwood, TN, USA",36.0322969,-86.81283719999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
36,"387. Zimmer Biomet Warsaw, IN, USA","",http://www.zimmerbiomet.com/,"Zimmer Biomet Building 5, West Center Street, Warsaw, IN, USA",41.2405012,-85.88388980000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
37,"386. Conagra Brands, Chicago, IL, USA","",http://www.conagrabrands.com/,"Chicago, IL, USA",41.8781136,-87.62979819999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
38,"385. Foot Locker, Broadway, New York, NY, USA","",https://www.northerntrust.com/united-states/home,"Foot Locker, Broadway, New York, NY, USA",40.7551834,-73.98631769999997,White,"Sep 16, 2019 09:25am","Sep 26, 2023 11:20pm"
39,359. Dick’s Sporting Goods,"Coraopolis, PA, USA
",http://www.dickssportinggoods.com/,"Coraopolis, PA, USA",40.5184013,-80.16672470000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
40,"384. Fifth Third Bank, OH, USA","",http://www.53.com/,"Fifth Third Bank, Kingsley Drive, Cincinnati, OH, USA",39.16698109999999,-84.4114303,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
41,"358. Eversource, Station Drive, Westwood, MA, USA","",http://www.eversource.com/,"Eversource, Station Drive, Westwood, MA, USA",42.2029952,-71.1596834,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
42,"383. Cheniere Energy Inc, Milam Street, Houston, TX, USA","",http://www.cheniere.com/,"Cheniere Energy Inc, Milam Street, Houston, TX, USA",29.7601536,-95.3653756,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
