"Company","City","State","County","Latitude","Longitude"
"Rite Aid",NA,"Pennsylvania",NA,40.2401756,-76.9353966
"TRAVELERS  New York",NA,"New York","Suffolk",40.7736489,-73.4157247
"Micron Technology","Boise","Idaho","Ada",43.6150186,-116.2023137
"Twenty-First Century Fox","New York","New York","New York",40.7127753,-74.0059728
"Abbott Laboratories",NA,"Illinois","Lake",42.3008372,-87.8944668
"Hewlett Packard Enterprise","Palo Alto","California","Santa Clara",37.4418834,-122.1430195
"USAA","San Antonio","Texas","Bexar",29.4241219,-98.4936282
"Coca-Cola","Atlanta","Georgia","Fulton",33.7489954,-84.3879824
"Progressive",NA,"Ohio","Cuyahoga",41.5519952,-81.4392828
"Capital One Financial",NA,"Virginia","Fairfax",38.9338676,-77.1772604
"CHS",NA,"Minnesota","Dakota",44.8480218,-93.0427153
"ABBVIE",NA,"Illinois","Lake",42.325578,-87.8411818
"3M","Saint Paul","Minnesota","Ramsey",44.9537029,-93.0899578
"Plains GP holdings","Houston","Texas","Harris",29.7604267,-95.3698028
"Exelon","Chicago","Illinois","Cook",41.8781136,-87.6297982
"General Dynamics","Falls Church","Virginia",NA,38.882334,-77.1710914
"Publix Super Markets","Lakeland","Florida","Polk",28.0394654,-81.9498042
"NIKE","Beaverton","Oregon","Washington",45.4888761,-122.8013771
"Enterprise Products Partners","Houston","Texas","Harris",29.7604267,-95.3698028
"Tech Data","Clearwater","Florida","Pinellas",27.9658533,-82.8001026
"DEERE","Moline","Illinois","Rock Island",41.5067003,-90.5151342
"ConocoPhillips","Houston","Texas","Harris",29.7604267,-95.3698028
"TJX","Framingham","Massachusetts","Middlesex",42.279286,-71.4161565
"Massachusetts Mutual Life Insurance","Springfield","Massachusetts","Hampden",42.1014831,-72.589811
"World Fuel Services","Miami","Florida","Miami-Dade",25.7616798,-80.1917902
"ALLSTATE",NA,"Illinois","Cook",42.1275267,-87.8289548
"Oracle ","Redwood City","California","San Mateo",37.4852152,-122.2363548
"Tyson Foods","Springdale","Arkansas","Washington",36.1867442,-94.1288141
"TIAA","New York","New York","New York",40.7127753,-74.0059728
"United Continental Holdings","Chicago","Illinois","Cook",41.8781136,-87.6297982
"Honeywell International",NA,"New Jersey","Morris",40.8395922,-74.4818698
"Merck Kenilworth",NA,"New Jersey","Union",40.6764911,-74.2907032
"Liberty Mutual Insurance Group","Boston","Massachusetts","Suffolk",42.3600825,-71.0588801
"Best Buy",NA,"Minnesota","Hennepin",44.8832982,-93.2830021
"Nationwide","Columbus","Ohio","Franklin",39.9611755,-82.9987942
"American Express","New York","New York","New York",40.7127753,-74.0059728
"New York Life Insurance","New York","New York","New York",40.7127753,-74.0059728
"Charter Communications","Stamford","Connecticut","Western Connecticut Planning Region",41.0534302,-73.5387341
"Delta Air Lines","Atlanta","Georgia","Fulton",33.7489954,-84.3879824
"American Airlines Group","Fort Worth","Texas","Tarrant",32.7554883,-97.3307658
"HCA Healthcare","Nashville","Tennessee","Davidson",36.1626638,-86.7816016
"AIG","New York","New York","New York",40.7127753,-74.0059728
"Cigna",NA,"Connecticut","Capitol Planning Region",41.826488,-72.7300945
"CISCO Systems","San Jose","California","Santa Clara",37.3382082,-121.8863286
"Morgan Stanley ","New York","New York","New York",40.7599978,-73.9854317
"Goldman Sachs Group","New York","New York","New York",40.7127753,-74.0059728
"Pfizer","New York","New York","New York",40.7127753,-74.0059728
"Lockheed Martin","Bethesda","Maryland","Montgomery",38.984652,-77.0947092
"Energy Transfer","Dallas","Texas","Dallas",32.7766642,-96.7969879
"Caterpillar",NA,"Illinois","Lake",42.1711365,-87.8445119
"Facebook",NA,"California","San Mateo",37.4529598,-122.1817252
"Humana","Louisville","Kentucky","Jefferson",38.2526647,-85.7584557
"HP","Palo Alto","California","Santa Clara",37.4418834,-122.1430195
"SYSCO","Houston","Texas","Harris",29.7604267,-95.3698028
"Albertsons","Boise","Idaho","Ada",43.6150186,-116.2023137
"Centene","Saint Louis","Missouri",NA,38.6270025,-90.1994042
"Prudential Financial","Newark","New Jersey","Essex",40.7335424,-74.1710255
"Archer Daniels Midland","Chicago","Illinois","Cook",41.8781136,-87.6297982
"Pepsico","New York","New York","New York",40.7127753,-74.0059728
"Fedex","Memphis","Tennessee","Shelby",35.1495343,-90.0489801
"United Technologies",NA,"Connecticut","Capitol Planning Region",41.7360305,-72.795027
"Procter and Gamble","Cincinnati","Ohio","Hamilton",39.1031182,-84.5120196
"MetLife","New York","New York","New York",40.7127753,-74.0059728
"INTEL","Santa Clara","California","Santa Clara",37.3541079,-121.9552356
"Lowes",NA,"North Carolina","Iredell",35.5859146,-80.8081413
"United Parcel Service","Atlanta","Georgia","Fulton",33.7489954,-84.3879824
"Freddie Mac",NA,"Virginia","Fairfax",38.9338676,-77.1772604
"Target","Minneapolis","Minnesota","Hennepin",44.9748915,-93.2743017
"IBM",NA,"New York","Westchester",41.1135751,-73.7160522
"Johnson And Johnson","New Brunswick","New Jersey","Middlesex",40.4993693,-74.4419126
"State Farm Insurance","Bloomington","Illinois","McLean",40.4771561,-88.9548523
"DuPont De Nemours  ",NA,"Delaware","New Castle",39.7828904,-75.5671468
"Dell Technologies ","Round Rock","Texas","Williamson",30.4883856,-97.6704209
"Anthem","Indianapolis","Indiana","Marion",39.76462,-86.15301
"Comcast","Philadelphia","Pennsylvania","Philadelphia",39.9549688,-75.168451
"Marathon Petrolium","Findlay","Ohio","Hancock",41.04422,-83.6499321
"Citigroup","New York","New York","New York",40.7127753,-74.0059728
"Wells Fargo","San Francisco","California",NA,37.7749295,-122.4194155
"Boeing","Chicago","Illinois","Cook",41.8781136,-87.6297982
"Home Depot","Atlanta","Georgia","Fulton",33.7489954,-84.3879824
"Microsoft",NA,"Washington","King",47.6739881,-122.121512
