"","ref_number","prefix","property_name","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","state","county","city","street_number","external_link","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name_lower","address","latitude","longitude"
"82","89001665",NA,"Cooke, Jay, State Park CCC/Rustic Style Historic District","Listed","Multiple",FALSE,6.5,"LANDSCAPE ARCHITECTURE; ENTERTAINMENT/RECREATION; POLITICS/GOVERNMENT; ARCHITECTURE","DISTRICT","MINNESOTA","Carlton","Carlton","Off MN 210 E of Carlton, Thomson Township","https://catalog.archives.gov/id/93200146","6/11/92","12/8/76","Jay Cooke State Park",NA,"89001665","cooke, jay, state park ccc/rustic style","Cooke, Jay, State Park CCC/Rustic Style Historic District Carlton MINNESOTA",46.6646639,-92.4226646
"83","08001092",NA,"Lyceum-The Circle Historic District","Listed","Single",FALSE,10,"EDUCATION; POLITICS/GOVERNMENT; LAW; SOCIAL HISTORY; BLACK","DISTRICT","MISSISSIPPI","Lafayette","Oxford","University Circle, University of Mississippi","https://catalog.archives.gov/id/73890582","10/6/08","10/6/08",NA,NA,"08001092","lyceum-the circle","Lyceum-The Circle Historic District Lafayette MISSISSIPPI",34.3642006,-89.5195082
"84","66000892",NA,"Ste. Genevieve Historic District","Listed","Single",FALSE,0,"EXPLORATION/SETTLEMENT; ARCHITECTURE","DISTRICT","MISSOURI","Ste. Genevieve","Ste. Genevieve","Address unknown at this time","https://catalog.archives.gov/id/63818198","10/15/66","10/9/60","See Also:Bolduc, Louis, House",NA,"66000892","ste. genevieve","Ste. Genevieve Historic District Ste. Genevieve MISSOURI",37.98,-90.04333
"85","71001066",NA,"Truman, Harry S, Historic District","Listed","Single",FALSE,0,"POLITICS/GOVERNMENT","DISTRICT","MISSOURI","Jackson","Independence","Range 32 West, Township 49 North, Sections 2 and 3; Range 32  West, Township 50 North, Sections 34 and 35.",NA,"11/11/71","11/11/71","See Also:Harry S Truman National Historic Site",NA,"71001066","truman, harry s,","Truman, Harry S, Historic District Jackson MISSOURI",39.09306,-94.41556
"86","79003636",NA,"Washington University Hilltop Campus Historic District","Listed","Single",FALSE,58,"LANDSCAPE ARCHITECTURE; ENTERTAINMENT/RECREATION; EDUCATION; SCIENCE; ARCHITECTURE","DISTRICT","MISSOURI","St. Louis","St. Louis (Independent City)","Roughly bounded by Big Bend, Forsyth, Skinker, and Millbrook Blvds.","https://catalog.archives.gov/id/63820340","1/12/79","2/27/87","Washington University Hilltop Campus Historic District Natio",NA,"79003636","washington university hilltop campus","Washington University Hilltop Campus Historic District St. Louis MISSOURI",38.64799,-90.30409
"87","66000426",NA,"Bannack Historic District","Listed","Single",FALSE,1720,"INDUSTRY; EXPLORATION/SETTLEMENT; POLITICS/GOVERNMENT","DISTRICT","MONTANA","Beaverhead","Dillon","22 mi. from Dillon off MT 278",NA,"10/15/66","7/4/61",NA,NA,"66000426","bannack","Bannack Historic District Beaverhead MONTANA",45.212086985357,-112.993252272815
"88","66000438","AD","Butte-Anaconda Historic District (Additional Documentation)","Listed","Add.Doc.",FALSE,2720,"INDUSTRY","district","MONTANA","Silver Bow","Butte","308-310 West Silver Street","https://catalog.archives.gov/id/71975591","10/15/66","7/4/61",NA,NA,"66000438","butte-anaconda (additional documentation)","Butte-Anaconda Historic District (Additional Documentation) Silver Bow MONTANA",48.8730613,-108.7187603
"89","76000173","MP","Many Glacier Hotel Historic District","Listed","Multiple",FALSE,75.6,"ARCHITECTURE; POLITICS/GOVERNMENT; ENTERTAINMENT/RECREATION; LANDSCAPE ARCHITECTURE; COMMERCE","DISTRICT","MONTANA","Glacier","Babb","W of Babb","https://catalog.archives.gov/id/71975102","9/29/76","5/28/87","See Also:Great Northern Railway Buildings","Glacier","76000173","many glacier hotel","Many Glacier Hotel Historic District Glacier MONTANA",48.7967,-113.6578
"90","66000435",NA,"Virginia City Historic District","Listed","Single",FALSE,20000,"EXPLORATION/SETTLEMENT; POLITICS/GOVERNMENT","DISTRICT","MONTANA","Madison","Virginia City","Wallace St.","https://catalog.archives.gov/id/71975579","10/15/66","7/4/61",NA,NA,"66000435","virginia city","Virginia City Historic District Madison MONTANA",37.17735,-80.23643
"91","66000458",NA,"Virginia City Historic District","Listed","Single",FALSE,14750,"INDUSTRY; COMMERCE; ENGINEERING; POLITICS/GOVERNMENT; ARCHITECTURE","DISTRICT","NEVADA","Storey","Virginia City","Virginia City and its environs","https://catalog.archives.gov/id/63816681","10/15/66","7/4/61","See Also:Parish House;Chollar Mansion;Prescott, C.J., House;",NA,"66000458","virginia city","Virginia City Historic District Storey NEVADA",39.303182,-119.652657
"92","71000072","MP","Harrisville Historic District","Listed","Multiple",FALSE,315,"INDUSTRY; ARCHITECTURE","DISTRICT","NEW HAMPSHIRE","Cheshire","Harrisville and vicinity","Town of Harrisville and its environs","https://catalog.archives.gov/id/77844436","9/17/71","12/22/77",NA,NA,"71000072","harrisville","Harrisville Historic District Cheshire NEW HAMPSHIRE",42.94536,-72.09397
"93","70000383","AD","Cape May Historic District (Additional Documentation)","Listed","Add.Doc.",FALSE,380,"CONSERVATION; ARCHITECTURE; ENTERTAINMENT/RECREATION","district","NEW JERSEY","Cape May","Cape May","Cape May",NA,"12/29/70","5/11/76",NA,NA,"70000383","cape may (additional documentation)","Cape May Historic District (Additional Documentation) Cape May NEW JERSEY",38.934438,-74.922368
"94","78001764",NA,"Clark Thread Company Historic District","Listed","Single",FALSE,13,"INDUSTRY","DISTRICT","NEW JERSEY","Hudson","East Newark","900 Passaic Ave.",NA,"6/2/78","6/16/78","East Newark Industrial Center;First Republic Industrial Cent",NA,"78001764","clark thread company","Clark Thread Company Historic District Hudson NEW JERSEY",40.72816,-74.07764
"95","80002505",NA,"Fort Hancock and the Sandy Hook Proving Ground Historic District","Listed","Single",FALSE,4584,"MILITARY; ENGINEERING; SOCIAL HISTORY","DISTRICT","NEW JERSEY","Monmouth","Fort Hancock and vicinity","NJ 36",NA,"4/24/80","12/17/82","Fort Hancock","Gateway","80002505","fort hancock and the sandy hook proving ground","Fort Hancock and the Sandy Hook Proving Ground Historic District Monmouth NEW JERSEY",40.4668288,-74.0029244
"96","70000391",NA,"Great Falls of Paterson/S.U.M. Historic District","Listed","Single",FALSE,108,"INDUSTRY; COMMERCE; ENGINEERING; TRANSPORTATION; ARCHITECTURE","DISTRICT","NEW JERSEY","Passaic","Paterson","At Passaic River",NA,"4/17/70","5/11/76","Great Falls of the Passaic/Society for Useful Manufacturers",NA,"70000391","great falls of paterson/s.u.m.","Great Falls of Paterson/S.U.M. Historic District Passaic NEW JERSEY",40.9153221,-74.180483
"97","89000761",NA,"Princeton Battlefield -Stony Brook Village Historic District (Boundary Increase)","Listed","Single",FALSE,285,"MILITARY; EXPLORATION/SETTLEMENT","DISTRICT","NEW JERSEY","Mercer","Princeton","Roughly Quaker Rd. from Stockton Rd. to Stony Brook",NA,"10/10/89","1/20/61","Princeton Battlefield--Stony Brook Village Historic District",NA,"89000761","princeton battlefield -stony brook village (boundary increase)","Princeton Battlefield -Stony Brook Village Historic District (Boundary Increase) Mercer NEW JERSEY",40.34872,-74.65905
"98","100003698","BC","Princeton Battlefield-Stony Brook Village Historic District  (Boundary Increase II)","Listed","Boundary",TRUE,4.7,"MILITARY; ARCHEOLOGY; HISTORIC - NON-ABORIGINAL","district","NEW JERSEY","Mercer","Princeton","Address Restricted",NA,"4/26/19","1/20/61","Princeton Battlefield-D'Ambrisi Property; 28-Me-393",NA,"66000466","princeton battlefield-stony brook village  (boundary increase ii)","Princeton Battlefield-Stony Brook Village Historic District  (Boundary Increase II) Mercer NEW JERSEY",40.34872,-74.65905
"99","87001452",NA,"Bandelier CCC Historic District","Listed","Single",FALSE,54,"ARCHITECTURE; SOCIAL HISTORY","DISTRICT","NEW MEXICO","Los Alamos","Bandelier National Monument","Off NM 4","https://catalog.archives.gov/id/77846990","5/28/87","5/28/87","Bandelier Buildings and Frijoles Canyon Lodge","Bandelier","87001452","bandelier ccc","Bandelier CCC Historic District Los Alamos NEW MEXICO",35.881943,-106.307723
