Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,County,City ,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
66000152,,Alabama State Capitol,Listed,Single,FALSE,9, POLITICS/GOVERNMENT,BUILDING,ALABAMA,Montgomery,Montgomery,"Goat Hill, E end of Dexter Ave.",https://catalog.archives.gov/id/77835681,10/15/66,12/19/60, Confederate Capitol,,66000152
66000931,,Apalachicola Fort,Listed,Single,TRUE,10, HISTORIC - NON-ABORIGINAL; EXPLORATION/SETTLEMENT,SITE,ALABAMA,Russell,Holy Trinity,Address Restricted,,10/15/66,7/19/64,,,66000931
73000337,,Barton Hall,Listed,Single,FALSE,4, ARCHITECTURE,BUILDING,ALABAMA,Colbert,Cherokee,2.5 mi. (4 km) W of Cherokee on U.S. 72,https://catalog.archives.gov/id/77835633,11/7/73,11/7/73, Cunningham Plantation,,73000337
05000455,,"Bethel Baptist Church, Parsonage, and Guardhouse",Listed,Single,FALSE,, LAW; POLITICS/GOVERNMENT; ETHNIC HERITAGE-BLACK; SOCIAL HISTORY,building,ALABAMA,Jefferson,Collegeville,"3233, 3232, and 3236 29th Avenue North",https://catalog.archives.gov/id/77835649,4/5/05,4/5/05,,,05000455
74000398,,Bottle Creek Indian Mounds,Listed,Single,TRUE,255, PREHISTORIC; HISTORIC - ABORIGINAL,SITE,ALABAMA,Baldwin,Stockton,Address Restricted,,12/2/74,4/19/94, Mound Island;Bottle Creek Site (1 Ba 2),,74000398
82002009,,Brown Chapel African Methodist Episcopal Church,Listed,Single,FALSE,7.5, BLACK; POLITICS/GOVERNMENT; ARCHITECTURE; SOCIAL HISTORY,building,ALABAMA,Dallas,Selma,"410 Martin Luther King, Jr. St.",https://catalog.archives.gov/id/77836066,2/4/82,12/9/97,,,82002009
76002259,,"Clayton, Henry D., House",Listed,Single,FALSE,51, COMMERCE; POLITICS/GOVERNMENT,BUILDING,ALABAMA,Barbour,Clayton,1 mi. S of Clayton off AL 30,https://catalog.archives.gov/id/77835631,12/8/76,12/8/76, Clayton Plantation,,76002259
66000154,,"Curry, J. L. M., House",Listed,Single,FALSE,760.5, EDUCATION,BUILDING,ALABAMA,Talladega,Talladega,3 mi. NE of Talladega on AL 21,https://catalog.archives.gov/id/77835692,10/15/66,12/21/65, Jabez Lamar Monroe Curry House,,66000154
74000431,,Dexter Avenue Baptist Church,Listed,Single,FALSE,0.9, BLACK; POLITICS/GOVERNMENT; RELIGION; SOCIAL HISTORY,BUILDING,ALABAMA,Montgomery,Montgomery,454 Dexter Ave.,https://catalog.archives.gov/id/77835679,7/1/74,5/30/74,,,74000431
13000281,,Edmund Pettus Bridge,Listed,Single,FALSE,,,STRUCTURE,ALABAMA,Dallas,Selma,"US 80, MP 85.415",,2/27/13,2/27/13,,,13000281
74000420,,Episcopal Church of the Nativity,Listed,Single,FALSE,1, ARCHITECTURE; RELIGION,BUILDING,ALABAMA,Madison,Huntsville,212 Eustis St.,https://catalog.archives.gov/id/77836774,10/9/74,6/21/90,,,74000420
72000178,,Fort Mitchell Site,Listed,Single,TRUE,321, HISTORIC - ABORIGINAL; COMMERCE; HISTORIC - NON-ABORIGINAL; MILITARY,SITE,ALABAMA,Russell,Fort Mitchell,Address Restricted,,6/13/72,6/21/90, Fort Mitchell;1Ru102,,72000178
66000146,,Fort Morgan,Listed,Single,FALSE,250, MILITARY,BUILDING,ALABAMA,Baldwin,Gasque,Western terminus of AL 180,https://catalog.archives.gov/id/77835629,10/15/66,12/19/60,,,66000146
66000148,,Fort Toulouse,Listed,Single,FALSE,180, MILITARY; EXPLORATION/SETTLEMENT,SITE,ALABAMA,Elmore,Wetumpka,4 mi (6.4 km) SW of Wetumpka at confluence of the Coosa and Tallapoosa rivers,https://catalog.archives.gov/id/77835641,10/15/66,10/9/60, Fort Jackson,,66000148
05000457,,"Foster Auditorium, The University of Alabama",Listed,Single,FALSE,,,BUILDING,ALABAMA,Tuscaloosa,Tuscaloosa,Sixth Avenue,https://catalog.archives.gov/id/77835694,4/5/05,4/5/05,,,05000457
72000167,,Gaineswood,Listed,Single,FALSE,6, ARCHITECTURE,BUILDING,ALABAMA,Marengo,Demopolis,805 S. Cedar St.,https://catalog.archives.gov/id/77835667,1/5/72,3/3/74,,,72000167
92001885,,Government Street Presbyterian Church,Listed,Single,FALSE,0.9, ARCHITECTURE,BUILDING,ALABAMA,Mobile,Mobile,300 Government St.,https://catalog.archives.gov/id/77835669,10/5/92,10/5/92,,,92001885
70000101,,Ivy Green,Listed,Single,FALSE,10, EDUCATION; COMMUNICATIONS; SOCIAL HISTORY,BUILDING,ALABAMA,Colbert,Tuscumbia,300 W. North Common,https://catalog.archives.gov/id/77835970,8/25/70,3/31/92, Helen Keller Birthplace,,70000101
90001318,,Kenworthy Hall,Listed,Single,FALSE,19, ARCHITECTURE,BUILDING,ALABAMA,Perry,Marion,"AL 14, W of Marion",https://catalog.archives.gov/id/77835683,8/23/90,8/18/04, Carlisle Hall; Edward Kennedy Carlisle House,,90001318
69000034,,Mobile City Hall,Listed,Single,FALSE,4, COMMERCE; ARCHITECTURE,BUILDING,ALABAMA,Mobile,Mobile,111 S. Royal St.,https://catalog.archives.gov/id/77836878,12/3/69,11/7/73, City Hall;Old City Hall--Old Southern Market,,69000034
83003521,,MONTGOMERY (snagboat),Listed,Single,FALSE,0.9, COMMERCE; ENGINEERING; TRANSPORTATION; MARITIME HISTORY,STRUCTURE,ALABAMA,Pickens,Pickensville,Tom Bevill Visitor Center,https://catalog.archives.gov/id/77835685,11/28/83,6/30/89, U.S. Snagboat MONTGOMERY,,83003521
73000368,,Montgomery Union Station and Trainshed,Listed,Single,FALSE,3, COMMERCE; ENGINEERING; TRANSPORTATION; ARCHITECTURE,STRUCTURE,ALABAMA,Montgomery,Montgomery,Water St.,https://catalog.archives.gov/id/77837145,7/24/73,12/8/76, Louisville &amp; Nashville Railroad:Montgomery Union Station and,,73000368
66000149,,Moundville,Listed,Single,FALSE,300, PREHISTORIC,SITE,ALABAMA,Hale,Moundville,1 mi. (1.6 km) W of Moundville on SR 21,https://catalog.archives.gov/id/77835643,10/15/66,7/19/64, Mound State Monument,,66000149
85002807,,Neutral Buoyancy Space Simulator,Listed,Single,FALSE,0.9, OTHER; ENGINEERING,STRUCTURE,ALABAMA,Madison,Huntsville,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835661,10/3/85,10/3/85,,,85002807
100006236,NL,Old Monroe County Courthouse,Listed,NHL,FALSE,1, LITERATURE; POLITICS/GOVERNMENT; ARCHITECTURE,building,ALABAMA,Monroe,Monroeville,Courthouse Sq.,,,1/13/21,,,73000366
85002804,,Propulsion and Structural Test Facility,Listed,Single,FALSE,0.9, OTHER; MILITARY; ENGINEERING,STRUCTURE,ALABAMA,Madison,Huntsville,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835659,10/3/85,10/3/85, Solid Motor Structural Test Facility,,85002804
76000341,,Redstone Test Stand,Listed,Single,FALSE,2, MILITARY; ENGINEERING; EXPLORATION/SETTLEMENT; SCIENCE,STRUCTURE,ALABAMA,Madison,Huntsville,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77836794,5/13/76,10/3/85, Interim Test Stand,,76000341
85002806,,Saturn V Dynamic Test Stand,Listed,Single,FALSE,0.9, OTHER; ENGINEERING; TRANSPORTATION,STRUCTURE,ALABAMA,Madison,Huntsville,George C. Marshall Space Flight Center,https://catalog.archives.gov/id/77835663,10/3/85,10/3/85, Dynamic Structural Test Facility,,85002806
78000500,,Saturn V Space Vehicle,Listed,Single,FALSE,0.9, ENGINEERING; TRANSPORTATION; EXPLORATION/SETTLEMENT,STRUCTURE,ALABAMA,Madison,Huntsville,Tranquility Base,https://catalog.archives.gov/id/77836796,11/22/78,2/10/87,,,78000500
80000696,,Sixteenth Street Baptist Church,Listed,Single,FALSE,0.9, BLACK; ARCHITECTURE; SOCIAL HISTORY,BUILDING,ALABAMA,Jefferson,Birmingham,1530 6th Ave. North at 16th St.,https://catalog.archives.gov/id/77836436,9/17/80,2/20/06,,,80000696
72000162,,Sloss Blast Furnace Site,Listed,Single,FALSE,16.5, INDUSTRY; ENGINEERING,DISTRICT,ALABAMA,Jefferson,Birmingham,1st Ave. at 32nd St.,https://catalog.archives.gov/id/77836492,6/22/72,5/29/81, Sloss Blast Furnaces,,72000162
73000347,,St. Andrew's Church,Listed,Single,FALSE,3, ARCHITECTURE,BUILDING,ALABAMA,Hale,Prairieville,U.S. 80,https://catalog.archives.gov/id/77835645,11/7/73,11/7/73,,,73000347
74002223,,Swayne Hall,Listed,Single,FALSE,0, BLACK; EDUCATION,BUILDING,ALABAMA,Talladega,Talladega,Talladega College campus,https://catalog.archives.gov/id/77835690,12/2/74,12/2/74,,,74002223
66000151,,Tuskegee Institute National Historic Site,Listed,Single,FALSE,74.4, BLACK; EDUCATION,DISTRICT,ALABAMA,Macon,Tuskegee,1 mi. NW of Tuskegee on U.S. 80,https://catalog.archives.gov/id/77835653,10/15/66,6/23/65,,Tuskegee Institute,66000151
98000611,,United States Post Office and Courthouse-Montgomery,Listed,Single,FALSE,1.5, ARCHITECTURE; SOCIAL HISTORY; POLITICS/GOVERNMENT; BLACK,BUILDING,ALABAMA,Montgomery,Montgomery,15 Lee St.,https://catalog.archives.gov/id/77837169,6/3/98,7/21/15," Frank M. Johnson, Jr. Federal Building",,98000611
86000083,,USS ALABAMA (battleship),Listed,Single,FALSE,0.9, MILITARY,STRUCTURE,ALABAMA,Mobile,Mobile,Battleship Pkwy.,https://catalog.archives.gov/id/77835675,1/14/86,1/14/86, BB-60,,86000083
86000086,,USS DRUM (submarine),Listed,Single,FALSE,0.9, MILITARY,STRUCTURE,ALABAMA,Mobile,Mobile,Battleship Pkwy.,https://catalog.archives.gov/id/77835673,1/14/86,1/14/86, SS-228,,86000086
66000147,,Wilson Dam,Listed,Single,FALSE,20, INDUSTRY; COMMERCE; TRANSPORTATION,STRUCTURE,ALABAMA,Colbert,Florence,Tennessee River on AL 133,https://catalog.archives.gov/id/77835635,11/13/66,11/13/66,,,66000147
73000371,,"Yancey, William Lowndes, Law Office",Listed,Single,FALSE,0.9, POLITICS/GOVERNMENT,BUILDING,ALABAMA,Montgomery,Montgomery,Adams and Perry Sts.,,11/7/73,11/7/73,,,73000371
95000453,,Yuchi Town,Listed,Single,TRUE,280, NATIVE AMERICAN; PREHISTORIC,SITE,ALABAMA,Russell,Fort Benning,Address Restricted,,6/19/96,6/19/96, 1RU63;1RU57,,95000453
87000841,,Adak Army Base and Adak Naval Operating Station,Listed,Single,FALSE,46700, MILITARY,DISTRICT,ALASKA,Aleutian Islands,Adak Station,"Roughly bounded by Cape Adagdak, Scabbard Bay, and Shagak Bay",https://catalog.archives.gov/id/75325287,2/27/87,2/27/87, Adak Naval Station (Naval Air Station Adak),,87000841
72000192,,Alaska Native Brotherhood Hall,Listed,Single,FALSE,0.3, NATIVE AMERICAN,BUILDING,ALASKA,Sitka,Sitka,Katlean St.,https://catalog.archives.gov/id/75325744,2/23/72,6/2/78, Sitka Camp No. 1,,72000192
05000460,,Amalik Bay Archeological District,Listed,Single,TRUE,,,DISTRICT,ALASKA,Dillingham,King Salmon,Address Restricted,,4/5/05,4/5/05,,,05000460
66000162,,American Flag Raising Site,Listed,Single,FALSE,3.6, EXPLORATION/SETTLEMENT; POLITICS/GOVERNMENT,SITE,ALASKA,Sitka,Sitka,Castle Hill,https://catalog.archives.gov/id/75325329,10/15/66,6/13/62, Baranov Castle;Castle Hill;AHRS Site Sit 002,,66000162
78000512,,Anangula Archeological District,Listed,Single,TRUE,47, PREHISTORIC,SITE,ALASKA,Aleutian Islands,Nikolski,Address Restricted,,6/2/78,6/16/78, AHRS-SAM-012,,78000512
66000159,,Anvil Creek Gold Discovery Site,Listed,Single,FALSE,2, EXPLORATION/SETTLEMENT,SITE,ALASKA,Nome,Nome,4.25 mi. N of Nome on Seward Peninsula at Anvil Creek,,10/15/66,12/21/65,,,66000159
85002729,,Attu Battlefield and U.S. Army and Navy Airfields on Attu,Listed,Single,FALSE,7000, MILITARY,SITE,ALASKA,Aleutian Islands,Aleutian Islands,Attu Island,https://catalog.archives.gov/id/75325281,2/4/85,2/4/85,,,85002729
77001542,,Bering Expedition Landing Site,Listed,Single,FALSE,1, EXPLORATION/SETTLEMENT,SITE,ALASKA,Valdez-Cordova,Katalla,S of Katalla on Kayak Island,https://catalog.archives.gov/id/75325828,7/20/77,6/2/78, AHRS SITE NO. XMI 005,,77001542
66000953,,Birnirk Site,Listed,Single,TRUE,1, PREHISTORIC,SITE,ALASKA,North Slope,Barrow,Address Restricted,,10/15/66,12/29/62,,,66000953
78000342,,Brooks River Archeological District,Listed,Single,TRUE,583, HISTORIC - ABORIGINAL; PREHISTORIC,DISTRICT,ALASKA,Bristol Bay,Naknek,Address Restricted,https://catalog.archives.gov/id/75325290,2/14/78,4/19/93, 49 MK1;XMK-051;Kittewick,Katmai,78000342
87001301,,Cape Field at Fort Glenn (Umnak Island),Listed,Single,FALSE,7550, MILITARY,DISTRICT,ALASKA,Aleutian Islands,Fort Glenn,NE section of Umnak Island,https://catalog.archives.gov/id/75325277,5/28/87,5/28/87, Umnak Airport,,87001301
73000378,,Cape Krusenstern Archeological District National Monument,Listed,Single,TRUE,2000000, PREHISTORIC; HISTORIC - ABORIGINAL,SITE,ALASKA,Northwest Arctic,Kotzebue,Address Restricted,,11/7/73,11/7/73, Cape Krusenstern;Sealing Point,Cape Krusenstern,73000378
78000535,,Cape Nome Mining District Discovery Sites,Listed,Single,FALSE,67.9, INDUSTRY,DISTRICT,ALASKA,Nome,Nome,Address unknown,https://catalog.archives.gov/id/75325312,6/2/78,6/2/78," AHRS Site Nos. NOM 021,038,039;See Also:Anvil Creek Gold Dis",,78000535
66000155,,Chaluka Site,Listed,Single,TRUE,10, PREHISTORIC,SITE,ALASKA,Aleutian Islands,Nikolski,Address Restricted,,10/15/66,12/29/62,,,66000155
75002120,,Chilkoot Trail,Listed,Single,FALSE,638, TRANSPORTATION,DISTRICT,ALASKA,Skagway-Yakutat-Angoon,Skagway,Mile 0 to U.S./Canada Border,https://catalog.archives.gov/id/75325780,4/14/75,6/16/78, AHRS SKG-067,Klondike Gold Rush,75002120
70000898,MP,Church of the Assumption of the Virgin Mary,Listed,Multiple,FALSE,13.5, EDUCATION; LAW; ARCHITECTURE; RELIGION; SOCIAL HISTORY,BUILDING,ALASKA,Kenai Peninsula,Kenai,Mission and Overland Sts.,https://catalog.archives.gov/id/75325303,5/10/70,5/10/70, Holy Assumption Orthodox Church,,70000898
70000112,MP,Church of the Holy Ascension,Listed,Multiple,FALSE,1.5, ART; EDUCATION; ARCHITECTURE; RELIGION; SOCIAL HISTORY,BUILDING,ALASKA,Aleutian Islands,Unalaska,In Unalaska,https://catalog.archives.gov/id/75325275,4/15/70,4/15/70, Holy Ascension Orthodox Church,,70000112
74000442,,Dry Creek Archeological Site,Listed,Single,TRUE,9.3, PREHISTORIC,SITE,ALASKA,Yukon-Koyukuk,Lignite,Address Restricted,,9/6/74,6/16/78,,,74000442
85002733,,"Dutch Harbor Naval Operating Base and Fort Mears, U.S. Army",Listed,Single,FALSE,1000, MILITARY,DISTRICT,ALASKA,Aleutian Islands,Unalaska,Amaknak Island,https://catalog.archives.gov/id/75325285,2/4/85,2/4/85,,,85002733
70000919,,Eagle Historic District,Listed,Single,FALSE,360, COMMUNICATIONS,DISTRICT,ALASKA,Southeast Fairbanks,Eagle,"Mile 0, Taylor Hwy.",https://catalog.archives.gov/id/75325795,10/27/70,6/2/78," Eagle,City of;Egbert,Harry C.,Fort Site",,70000919
78000529,,Fort Durham Site,Listed,Single,TRUE,45, COMMERCE; HISTORIC - NON-ABORIGINAL,SITE,ALASKA,Juneau,Taku Harbor,Address Restricted,,5/5/78,6/16/78, AHRS Site JUN 036;Fort Taku,,78000529
72000190,,Fort William H. Seward,Listed,Single,FALSE,200, MILITARY,DISTRICT,ALASKA,Haines,Haines,S of Haines at Port Chilkoot,https://catalog.archives.gov/id/75325504,4/11/72,6/16/78, Chilkoot Barracks;AHRS Site No. SKG-001,,72000190
100011363,NL,Fort William H. Seward,Listed,NHL,FALSE,37, MILITARY,district,ALASKA,Haines,Haines,S of Haines at Port Chilkoot,,,12/13/24,,,72000190
78003208,,Gallagher Flint Station Archeological Site,Listed,Single,TRUE,10, PREHISTORIC,SITE,ALASKA,North Slope,Sagwon,Address Restricted,,6/2/78,6/2/78,,,78003208
66000157,,Ipiutak Site,Listed,Single,TRUE,400, PREHISTORIC,SITE,ALASKA,North Slope,Point Hope Peninsula,Address Restricted,,10/15/66,5/10/70,,,66000157
66000158,,Iyatayet Site,Listed,Single,TRUE,5, PREHISTORIC,SITE,ALASKA,Nome,Cape Denbigh Peninsula,Address Restricted,,10/15/66,1/20/61, Cape Denbigh Flint Site,,66000158
85002732,,"Japanese Occupation Site, Kiska Island",Listed,Single,FALSE,48900, MILITARY,SITE,ALASKA,Aleutian Islands,Aleutian Islands,Kiska Island,https://catalog.archives.gov/id/75325283,2/4/85,2/4/85,,,85002732
97001677,,Kake Cannery,Listed,Single,FALSE,12, MARITIME HISTORY; INDUSTRY; SOCIAL HISTORY,DISTRICT,ALASKA,Wrangell-Peterburg,Kake,1.5 mi. south of Kake,https://catalog.archives.gov/id/75325350,12/9/97,12/9/97," Sanborn Cutting Co., Sunny Point Packing Co., Alaska Pacific",,97001677
78003420,,Kennecott Mines,Listed,Single,FALSE,7700, INDUSTRY; ENGINEERING,DISTRICT,ALASKA,Valdez-Cordova,Kennecott,SE of Kennecott Glacier on N bank of National Creek,https://catalog.archives.gov/id/75325832,7/12/78,6/23/86, AHRS Site No. XMC-001;Kennecott,,78003420
94001644,,Kijik Archeological District,Listed,Single,TRUE,1920, HISTORIC - ABORIGINAL; PREHISTORIC,DISTRICT,ALASKA,Bristol Bay,Nondalton,Address Restricted,,10/12/94,10/12/94, Qizhjeh;XLC-001;see also:Kijik Historic District,Lake Clark,94001644
85002731,,Kodiak Naval Operating Base and Forts Greely and Abercrombie,Listed,Single,FALSE,350, MILITARY,SITE,ALASKA,Kodiak Island,Kodiak,Address unknown,https://catalog.archives.gov/id/75325308,2/4/85,2/4/85, US Coast Guard Support Center and Fort Abercrombie State His,,85002731
85002730,ADNL,Ladd Field,Done,NHL Updated Documentation,FALSE,528, MILITARY,district,ALASKA,Fairbanks North Star,Fairbanks,Address Unknown,,,9/2/24,,,85002730
85002730,,Ladd Field,Listed,Single,FALSE,1010, MILITARY,DISTRICT,ALASKA,Fairbanks North Star,Fairbanks,Address Unknown,https://catalog.archives.gov/id/75325295,2/4/85,2/4/85, Fort Wainwright,,85002730
71001093,,Leffingwell Camp Site,Listed,Single,FALSE,10, SCIENCE,SITE,ALASKA,North Slope,Flaxman Island,58 mi. W of Barter Island on Arctic Coast,https://catalog.archives.gov/id/75325730,6/21/71,6/16/78,,,71001093
72001581,,NENANA (steamer),Listed,Single,FALSE,0.9, TRANSPORTATION; ARCHITECTURE; MARITIME HISTORY,STRUCTURE,ALASKA,Fairbanks North Star,Fairbanks,Alaskaland,https://catalog.archives.gov/id/75325492,6/27/72,5/5/89,,,72001581
72001593,,New Russia Site,Listed,Single,FALSE,1, EXPLORATION/SETTLEMENT,SITE,ALASKA,Skagway-Yakutat-Angoon,Yakutat,SW of Yakutat on Phipps Peninsula,https://catalog.archives.gov/id/75325774,2/23/72,6/16/78,,,72001593
66000166,,Old Sitka Site,Listed,Single,FALSE,5, EXPLORATION/SETTLEMENT,SITE,ALASKA,Sitka,Sitka,6 mi. N (9.6 km) of Sitka on Starrigavan Bay,https://catalog.archives.gov/id/75325327,10/15/66,6/13/62, Redoubt St. Archangel Michael Site;AHRS SITE SIT 006,,66000166
72000191,,Onion Portage Archeological District,Listed,Single,TRUE,15360, PREHISTORIC,DISTRICT,ALASKA,Northwest Arctic,Kiana,Address Restricted,,6/20/72,6/16/78,,Kobuk Valley,72000191
66000957,,Palugvik Archeological District,Listed,Single,TRUE,180, PREHISTORIC,SITE,ALASKA,Valdez-Cordova,Cordova,Address Restricted,,10/15/66,12/29/62,,,66000957
66000025,MP,Russian Bishop's House,Listed,Multiple,FALSE,0.5, ENGINEERING; EDUCATION; EXPLORATION/SETTLEMENT; ARCHITECTURE; RELIGION,BUILDING,ALASKA,Sitka,Sitka,Lincoln and Monastery Sts.,https://catalog.archives.gov/id/75325151,10/15/66,6/13/62, Russian Mission Orphanage,Sitka,66000025
87001282,,Russian-American Building No. 29,Listed,Single,FALSE,0.5, EXPLORATION/SETTLEMENT; POLITICS/GOVERNMENT,BUILDING,ALASKA,Sitka,Sitka,202--204 Lincoln St.,https://catalog.archives.gov/id/75325331,5/28/87,5/28/87," Tilson Building;Building No. 29, Sitka",,87001282
66000954,,Russian-American Company Magazin,Listed,Single,FALSE,0.5, ARCHITECTURE,BUILDING,ALASKA,Kodiak Island,Kodiak,Main St. and Mission Rd.,https://catalog.archives.gov/id/75325305,10/15/66,6/13/62, Erskine House,,66000954
66000156,,Seal Island Historic District,Listed,Single,FALSE,6970, INDUSTRY; NATIVE AMERICAN; CONSERVATION,DISTRICT,ALASKA,Aleutian Islands,Pribilof Islands,St. Paul and St. George Islands,https://catalog.archives.gov/id/75325279,10/15/66,6/13/62, The Seal Islands;Pribilof Islands;See Also:80000744;80000743; Fur Seal Rookeries,,66000156
72000193,,Sheldon Jackson School,Listed,Single,FALSE,1, EDUCATION,BUILDING,ALASKA,Sitka,Sitka,Lincoln St.,https://catalog.archives.gov/id/75325764,2/23/72,8/7/01,,,72000193
86003559,ADNL,Sitka Naval Operating Base and US Army Coastal Defenses,Done,NHL Updated Documentation,FALSE,150, MILITARY,district,ALASKA,Sitka,Sitka,Japonski Island,,,9/2/24,,,86003559
86003559,,Sitka Naval Operating Base and US Army Coastal Defenses,Listed,Single,FALSE,510, MILITARY,DISTRICT,ALASKA,Sitka,Sitka,Japonski Island,https://catalog.archives.gov/id/75325333,8/11/86,8/11/86, Sitka;the Causeway;Mt. Edgecumbe School,,86003559
78000513,,Sitka Spruce Plantation,Listed,Single,FALSE,0.9, AGRICULTURE; EXPLORATION/SETTLEMENT,SITE,ALASKA,Aleutian Islands,Unalaska,N of Unalaska on Amaknak Island,https://catalog.archives.gov/id/75325355,2/14/78,6/16/78," AHRS UNL-074;""The Forest""",,78000513
66000943,,Skagway Historic District and White Pass,Listed,Single,FALSE,10, ARCHITECTURE,DISTRICT,ALASKA,Skagway-Yakutat-Angoon,Skagway and,Head of Taiya Inlet on Lynn Canal,https://catalog.archives.gov/id/75325339,10/15/66,6/13/62,,Klondike Gold Rush,66000943
74002264,,Sourdough Lodge,Removed,Single,FALSE,9.9, TRANSPORTATION,BUILDING,ALASKA,Valdez-Cordova,Gakona,AK 4 (Richardson Hwy.),,,6/16/78, Hart's Road House;AHRS GUL-056,,74002264
66000165,MP,St. Michael's Cathedral,Listed,Multiple,FALSE,0.3, ARCHITECTURE; RELIGION,BUILDING,ALASKA,Sitka,Sitka,"Lincoln and Maksoutoff District,",https://catalog.archives.gov/id/75325153,10/15/66,6/13/62,,,66000165
72001542,,"Thomas, George C., Memorial Library",Listed,Single,FALSE,0.5, SOCIAL HISTORY,BUILDING,ALASKA,Fairbanks North Star,Fairbanks,901 1st Ave.,https://catalog.archives.gov/id/75325490,2/23/72,6/2/78, North Star Boro Library;AHRS FAI-004,,72001542
72001541,,Three Saints Site,Listed,Single,TRUE,70, PREHISTORIC; HISTORIC - NON-ABORIGINAL; EXPLORATION/SETTLEMENT,SITE,ALASKA,Kodiak Island,Old Harbor,Address Restricted,,2/23/72,6/16/78, AHRS SITE KOD 124,,72001541
66000161,,Wales Sites,Listed,Single,TRUE,100, PREHISTORIC,DISTRICT,ALASKA,Nome,Wales,Address Restricted,,10/15/66,12/29/62, Wales Complex,,66000161
100000875,NL,Walrus Islands Archeological District,Listed,NHL,TRUE,,,,ALASKA,Dillingham,Togiak,Address Restricted,,,12/23/16,,,100000875
66000955,,Yukon Island Main Site,Listed,Single,TRUE,700, PREHISTORIC,SITE,ALASKA,Kenai Peninsula,Yukon Island,Address Restricted,,10/15/66,12/29/62,,,66000955
73002128,,Blunts Point Naval Gun,Listed,Single,FALSE,1, MILITARY,SITE,AMERICAN SAMOA,Eastern,Pago Pago,Matautu Ridge,https://catalog.archives.gov/id/131517728,4/26/73,5/28/87," Matautu Ridge Gun Site;See Also: Blunt's Point Battery, Amer",,73002128
72001443,,Government House,Listed,Single,FALSE,1.4, MILITARY; ARCHITECTURE; POLITICS/GOVERNMENT,BUILDING,AMERICAN SAMOA,Eastern,Pago Pago,Togotogo Ridge,https://catalog.archives.gov/id/131517735,3/16/72,12/14/90," Building No.1;Naval Station;Tutuila;Government House,U.S. Na",,72001443
14000280,,1956 Grand Canyon TWA-United Airlines Aviation Accident Site,Listed,Single,TRUE,,,SITE,ARIZONA,Coconino,Grand Canyon National Park,Address Restricted,,4/22/14,4/22/14,,,14000280
92001234,,Air Force Facility Missile Site 8 (571-7) Military Reservation,Listed,Single,FALSE,3.3, ENGINEERING; MILITARY; ARCHITECTURE,SITE,ARIZONA,Pima,Green Valley,1580 W. Duval Mine Rd.,https://catalog.archives.gov/id/75609550,12/3/92,4/19/94, Titan Missile Museum;Titan II ICBM Missile Site 571-7,,92001234
66000187,,Awatovi Ruins,Listed,Single,TRUE,770, PREHISTORIC; HISTORIC - ABORIGINAL; AGRICULTURE,SITE,ARIZONA,Navajo,Keams Canyon,Address Restricted,,10/15/66,7/19/64, Awatovi,,66000187
71000118,,Calabasas,Listed,Single,TRUE,22, HISTORIC - ABORIGINAL; HISPANIC; NATIVE AMERICAN; HISTORIC - NON-ABORIGINAL,SITE,ARIZONA,Santa Cruz,Nogales,Address Restricted,,6/3/71,12/14/90, San Cayetano de Calabasas;San Cayetano de Calabazas,,71000118
66000936,,Casa Malpais Site,Listed,Single,TRUE,14.3, PREHISTORIC,SITE,ARIZONA,Apache,Springerville,Address Restricted,,10/15/66,7/19/64, Arizona Q:15:3,,66000936
66000190,,Desert Laboratory,Listed,Single,FALSE,869.5, EDUCATION; SCIENCE,BUILDING,ARIZONA,Pima,Tucson,W of Tucson off W. Anklam Rd. on Tumamoc Hill,https://catalog.archives.gov/id/75609552,10/15/66,12/21/65, Tumamoc Hill,,66000190
66000169,,Double Adobe Site,Listed,Single,TRUE,2, PREHISTORIC,SITE,ARIZONA,Cochise,Douglas,Address Restricted,,10/15/66,1/20/61,,,66000169
74000334,,El Tovar Hotel,Listed,Single,FALSE,4.1, COMMERCE; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,ARIZONA,Coconino,Grand Canyon,"Grand Canyon National Park, Rte. 8A",https://catalog.archives.gov/id/75609735,9/6/74,5/28/87, El Tovar,Grand Canyon,74000334
76000377,,Fort Apache Historic District,Listed,Single,FALSE,288, MILITARY,DISTRICT,ARIZONA,Navajo,Whiteriver,S of Whiteriver off AZ 73 on Fort Apache Indian Reservation,https://catalog.archives.gov/id/75610362,10/14/76,3/2/12,,,76000377
72000194,,Fort Bowie National Historic Site,Listed,Single,FALSE,1000, NATIVE AMERICAN; MILITARY; ARCHITECTURE,DISTRICT,ARIZONA,Cochise,Bowie,12 mi. S of Bowie,https://catalog.archives.gov/id/75609680,7/29/72,12/19/60,,Fort Bowie,72000194
74000443,,Fort Huachuca,Listed,Single,FALSE,110, MILITARY; EXPLORATION/SETTLEMENT,DISTRICT,ARIZONA,Cochise,Sierra Vista,3.6 mi. W of Sierra Vista,https://catalog.archives.gov/id/75609672,11/20/74,5/11/76, Old Post Area,,74000443
