Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,County,City ,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
03000644,,Jacob's Pillow Dance Festival,Listed,Single,FALSE,150.7, PERFORMING ARTS; ARCHITECTURE,DISTRICT,MASSACHUSETTS,Berkshire,Becket,George Carter Road,https://catalog.archives.gov/id/63793645,5/27/03,5/27/03,,,03000644
67000001,AD,John Fitzgerald Kennedy National Historic Site (Additional Documentation),Listed,Add.Doc.,FALSE,1, POLITICS/GOVERNMENT,BUILDING,MASSACHUSETTS,Norfolk,Brookline,83 Beals St.,https://catalog.archives.gov/id/63796454,5/26/67,7/19/64,,John F. Kennedy National Historic Site,67000001
00000260,,"Johnson, Nathan and Mary (Polly), Properties",Listed,Single,FALSE,0.9, BLACK; SOCIAL HISTORY,BUILDING,MASSACHUSETTS,Bristol,New Bedford,"17-19, and 21 Seventh Street",https://catalog.archives.gov/id/63793661,2/16/00,2/16/00,,,00000260
72001302,,Kennedy Compound,Listed,Single,FALSE,6, POLITICS/GOVERNMENT,DISTRICT,MASSACHUSETTS,Barnstable,Hyannis Port,Irving and Marchant Aves.,https://catalog.archives.gov/id/63793631,11/28/72,5/31/73," Homes of Joseph P.,John F., and Robert F. Kennedy",,72001302
74002045,,King's Chapel,Listed,Single,FALSE,0.1, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,Tremont and School Sts.,https://catalog.archives.gov/id/63797080,5/2/74,10/9/60,,,74002045
66000766,,"Lee, Jeremiah, House",Listed,Single,FALSE,1, ARCHITECTURE,BUILDING,MASSACHUSETTS,Essex,Marblehead,Washington St.,https://catalog.archives.gov/id/63793675,10/15/66,10/9/60,,,66000766
66000767,,Lexington Green,Listed,Single,FALSE,2.5, MILITARY,SITE,MASSACHUSETTS,Middlesex,Lexington,Massachusetts and Hancock Sts.,https://catalog.archives.gov/id/63793765,10/15/66,1/20/61, See Also: Lexington Green Historic District; Lexington Common;Battle Green,,66000767
74002046,,Liberty Farm,Listed,Multiple,FALSE,1.3, SOCIAL HISTORY,BUILDING,MASSACHUSETTS,Worcester,Worcester,116 Mower St.,https://catalog.archives.gov/id/63793621,9/13/74,5/30/74, Foster House,,74002046
72001303,,"Lincoln, Gen. Benjamin, House",Listed,Single,FALSE,0.5, MILITARY,BUILDING,MASSACHUSETTS,Plymouth,Hingham,181 North St.,https://catalog.archives.gov/id/63793821,11/28/72,11/28/72,,,72001303
76001970,,"Little, Arthur D., Inc., Building",Listed,Single,FALSE,1, SCIENCE,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,Memorial Dr.,https://catalog.archives.gov/id/63793787,12/8/76,12/8/76,,,76001970
